Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",You will know when you are ready.,"And what is the matter, that you should not know?","Your thoughts betray you, father.","I am your father, and you are mine.",You are no longer my father. I have grown strong.,,,24.197050476074217,0.8811436414718627
"What is the meaning of life, the universe, and everything?",What is it?,"A meaning, sir; a meaning, that is something very ill, and something very unnatural.","What do you mean, 'I don't know.'","Why, then, 'tis a matter for you.","Well, I don't see why you couldn't just go with me.",Why would you not?,Because you're a coward.,33.713428429194856,0.8778486507279533
"What is the meaning of life, the universe, and everything?",No. I am not a philosopher.,Then what is the purpose of death?,The end of  your life.,"I am a poor fellow, sir.","So, you're saying there's a chance?","Well, I would say there's no chance, but that you may be so out of breath as to think it possible.",What?,34.6459515435355,0.85523578950337
"What is the meaning of life, the universe, and everything?","Yes, my lord.","And what is the matter, that you have forgot?","Well, it's not like I was going to kill you, Artoo.  I just wanted to be alone for a little while. ","Why, then you have no friends.","You know, I've been wondering about that.  How did I get into this mess?","I have no such friends, sir, but I am a fellow of some kind.","Well said, General Solo.  What good is a good friend if he doesn't know you're here?",43.52306938171387,0.8950084107262748
"What is the meaning of life, the universe, and everything?",I have a very bad feeling about this.,A very good feeling.,I'm sorry.,What's the meaning?,The Force is strong with this one.,,,17.685728931427,0.8152794480323792
"What is the meaning of life, the universe, and everything?","Yes, I know.","What is't, then?","What do you think, kid?","No, I do not think it is, but I think it lies.",That's impossible!,"What, is it possible that you think it cannot be?",,25.12958566347758,0.864883561929067
"What is the meaning of life, the universe, and everything?",You will know when you are ready.,"I am ready, sir.",Ready?,Ready; and yet you shall not come.,There will be no bargain.,"Then, in good time, you shall find I am no bargain: yet, if you will, I am a bargain. Farewell: I am content to live.","No bargain, my Master.",34.8195595741272,0.8492043784686497
"What is the meaning of life, the universe, and everything?","I'm afraid I'm not quite sure, sir.",How?,"Well, I think we can help you.  You can go about your business.","I know it well, sir, and you know it better.",Well?,How! well.,,28.303986231486004,0.8677810529867808
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,The gods keep you safe!,But what about that droid?,"He's dead, dead, and all is lost.",What about Leia?,"She's dead; and all but lost. What, ho!",,25.034849802652996,0.7301052808761597
"What is the meaning of life, the universe, and everything?",It's not over yet!  I've got to go out with Master Luke now.  I promise.,"I do beseech you, go to the Tower.",What is it?,"A most noble spirit, that is not yet respected with men.",A power I--I--I cannot understand.,"It is a power, my lord.",,45.058862606684364,0.8529515266418457
"What is the meaning of life, the universe, and everything?",I don't know.,"How do you think it is, my lord?",How am I to know?,"To know, my Lord, is the purpose of my life a function of nothing but my own life.","What is thy bidding, my master?",,,28.907837009429933,0.8676450848579407
"What is the meaning of life, the universe, and everything?",I don't know.,"Do you not know that the meaning is, The meaning is disband'd, the meaning unbroke, The way of life unbrooked, the way of death unbrooke, The very nature of life and death unbreach'd, The nature of death and the meaning and meaning of it Unknit in the imagination of the heart, The mind of death, the mind of the mind, The face of death by the mind and the face of the body, The heart of death the face, the soul of death undoubtful, The life and the soul, of the face that lives, The soul that lives by the soul that dies, The one that lives in the other, The other lives by that one that dies by the other. Defence! defend!",That's right.,I do not know. What's the matter?,,,,125.99089729785919,0.8148812800645828
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?","I bid thee, sir, tell me.",How long have you been holding these two?,"Two and a half, sir.",I'll take these two.,"A fortnight, sir; and you shall have them for the next.",,24.140971501668293,0.8178291221459707
"What is the meaning of life, the universe, and everything?",No. No. No! No!,"Why, no.","What is thy bidding, my master?","What, art thou bidding, sir?","Oh, no! No. Not yet. But soon, thy bidding will be complete.",,,23.141032218933105,0.823719584941864
