Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",It's not up to me., mafia?,"No, no, no. It's up to you.",Do you think that's the right answer?,Yes.,Are you saying that's not the right question?,,,21.28643508752187,0.7200605769952139
"What is the meaning of life, the universe, and everything?",Life.,What is life?,The universe.,Things that are more important than life.,Things...,Things I don't know about.,,,16.86848012606303,0.7830210129419962
"What is the meaning of life, the universe, and everything?","The universe, the whole idea of God.",What is a god?,I don't know.,Why do you think that?,Because I'm the godfather.,I wonder why?,,,18.81274660428365,0.8731856147448221
"What is the meaning of life, the universe, and everything?","The universe, the anus...",What is an object?,The anus.,What's an object,It's not a...,I think it's a metaphor,,,22.649830500284832,0.755603164434433
"What is the meaning of life, the universe, and everything?",It's just a thought.,What is life?,It is a mystery.,Is it a mystery?,No.,I am.,,,13.596767167250315,0.8233362038930258
"What is the meaning of life, the universe, and everything?",The universe.,What is life?,"The meaning of the word itself, itself, is unknowable.",I don't get it.,"Well, it's a philosophy that says if you're right, you're the one.",That's a very broad statement.,,,24.651933034261067,0.8099999825159708
"What is the meaning of life, the universe, and everything?",The universe is a liar!,What is a lie?,It's not a lie.,The truth is a flat circle.,The liar is gone.,That's a lie.,,,20.026179790496826,0.8367430865764618
"What is the meaning of life, the universe, and everything?",I think you mean the sumo suit.,I'm not sure if this is a good thing or a bad thing.,"Well, it's not a bad...",I don't think it's a TITO suit.,"It's a kurta suit.  It's the same thing as a baler, but it has a fire extinguisher.",Is that a balrog?,,,40.929437001546226,0.8913070460160574
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's a book about oceans.,It is a book.,"I know, but it's not a philosophy.",That's a philosophy.,,,18.005728483200073,0.8586136301358541
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's a mystery.,How do you know about it?,Because I'm in it.,Why are you in a sub about it.,,,14.787006139755249,0.8278051614761353
"What is the meaning of life, the universe, and everything?",The universe.,What is it?,The meaning of my life.,I'm not sure what you mean by that.,"Well, what do you mean?",I don't know what you're talking about.,,,16.06946810086568,0.8417356709639231
"What is the meaning of life, the universe, and everything?",The meaning of the word itself is unknowable.,What is it?,The universe.,The question is what is the universe.,The answer is yes.,But what is a universeesthetic?,,,18.218219995498657,0.8505488137404124
"What is the meaning of life, the universe, and everything?",Life is a highway to a point where you die.,What is life?,"It's not a highway, it's a trail.","Life isn't a journey, it's an endless journey.","Michael, I'm not going to tell you what life is.",That's a journey. I'm going to take a journey,,,27.45319430033366,0.8671549260616302
"What is the meaning of life, the universe, and everything?",Life is a highway to a point where you just can't get off.,I am not sure what point you are trying to opacity.,I don't think you understand.,It's not an illusion.,What?,"It is an illusion, but it's still not a real thing.",,,27.39841095606486,0.8403087755044302
"What is the meaning of life, the universe, and everything?",What are the seven deadly sins?,I have a question. What is the seven deadliest sins?,What is this?,"It's like poetry, it rhymes.",What?,Who is this?,,,20.839567979176838,0.8480547567208608
