Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",It's a complicated question. I have no idea.,What are the ingredients of a well-oiled cheese shaw?,I don't know.,"Well, then, what is the purpose of asking?",To get the answer.,That's what the question was.,,27.62923796971639,0.8306670784950256
"What is the meaning of life, the universe, and everything?","Well, I don't know.",Well I think you're right.,I think I'm right. I think I know. ,"I am right.  I am right, I am.  Okay, alright, you know what?  I'm going to take this pen and I am going to stab Toby with it.","Okay, well, you can take the pen.","No, no, no.  You can't stab Toby.",,35.70466113090515,0.9217130541801453
"What is the meaning of life, the universe, and everything?","I don't know, I just thought you should know.",I know. ,What is it?,What?,"The meaning of Life, the Universe, and Everything.",Okay.,,22.271669785181682,0.8126432398955027
"What is the meaning of life, the universe, and everything?",I don't know.,Is it a vacation?,"No, it's a vacation.",What?,It's a great vacation. It's a wonderful time.,It is?,,17.415876468022663,0.8011867900689443
"What is the meaning of life, the universe, and everything?",What is love?,"It's the end of days, and the beginning of love.","I'm not a man, I'm a woman.","Well, I don't think it's the beginning.","It is the beginning, and it is the end.","The beginning, the end, the beginning!",,20.40079132715861,0.8568876683712006
"What is the meaning of life, the universe, and everything?","No, I'm not going to tell you.",I'm not gonna tell you anything.,"Oh, okay.","Because you're a good kid. You're smart. You play the right sport. You'll figure it out. You know, you'll figure out the sport.","Okay, I'll tell you the sport, you know.",No.,,31.38413894176483,0.8258054554462433
"What is the meaning of life, the universe, and everything?",I don't know.,I'm not asking you anything.,"Well, I'm just saying, it tax-spikes are a thing.",It doesn't tax anything.  You just have to know when to pull it off.,Okay.,"Hey, Jim.",,30.26445500055949,0.8201346000035604
"What is the meaning of life, the universe, and everything?","I don't know, I don't really know.",Do you think it's possible that you're in an insane asylum?,"No, I think it is possible.",It's possible. ,I can't believe you've done this.,I know.  I know. I'm sorry.,,23.268489519755047,0.8735354840755463
"What is the meaning of life, the universe, and everything?","No, I don't think so.","Well, what do you think?",I think it's a good idea.,What do you know about paper?,Well... I know about the paper industry.,I'm not going to discuss paper with you.,,18.53345600763957,0.9067463179429373
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of the word itself.,What's the meaning?,I'm gonna tell you what the meaning is.,I don't know.,Do you think it's possible that there is a life here?,,15.513548056284586,0.8714069128036499
"What is the meaning of life, the universe, and everything?","Well, the answer is, it's just, it is, and it is just, and I just don't know.",I don't care what your answer is.,You know what? I don't think I can help you.,Okay.,"OK, well, you know what, you can just leave.","No, I don'I don'it's not about leaving. I just, I'm not gonna do it.",,27.24726454416911,0.8677485187848409
"What is the meaning of life, the universe, and everything?","I don't know, I don't think it's very important.",Do you think you could give me a hint?,"No, I'm not going to give you a hint.",Okay.,So what's the meaning?,The meaning of this meeting is to get us all to commit to the resolutions we made last year.,,18.28417746225993,0.8194141983985901
"What is the meaning of life, the universe, and everything?",It's a big question.,It is a big ask.,What is it?,Do you like movies?,I like movies.,I don't know.,,14.748963673909506,0.893193115790685
"What is the meaning of life, the universe, and everything?","I don't know, I don't really know.",I'm sure you're right. I'm sure it's nothing.,"Well, I know, it's just, I'm not really sure.","No, no, no. I mean, I think it's, it sounds, it seems like something that you need to get on your chest about.",It's just... it's... it feels... it just...,No.,,36.975066224733986,0.8954689999421438
"What is the meaning of life, the universe, and everything?",It's a poem.,"No, it's not.","I don't know, I don't think it's very clear.","Well, you know what? I am going to go get some ice chips.",That's not a good idea.,Do you want me to go?,No.,22.58320471218654,0.83688770873206
"What is the meaning of life, the universe, and everything?","I don't know, I just feel like I'm in a really bad place.","Well, you're not in a bad place, you just have a bad friend.",I'm not.,You're not a bad guy. You're a good friend. ,"Hey, hey, hey.",What's up?,,26.763641834259033,0.8272124926249186
"What is the meaning of life, the universe, and everything?",I don't know.,"It's a big universe, so...",You know what? I'm gonna tell you something.,What?,What is life?,It is a big idea. And it's not a big deal. Because we have a plan for you.,"I know.  I know. I know, I know!  I don't care.  It's a huge idea.  You know what, I think it's really cool.",22.823640482766287,0.8494769334793091
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,Baby don't hurt me.,Don't hurt my baby.,I'm sorry.,"Baby, don't cry.",,15.58817990620931,0.838389923175176
