Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,It's a mystery.,It is a mystery?,Yeah.,,15.372474471728006,0.8098196188608805
"What is the meaning of life, the universe, and everything?",It's not a question.,"It is a question, and I am answering it.",No.,You have to answer it. ,Answer it. What is the purpose of this meeting?,I'm not going to answer the question.  I'm going to ask the question and I'm gonna tell you.,Is it because of the baby?,27.77641122681754,0.8592411705425808
"What is the meaning of life, the universe, and everything?",The universe is boring.  Life is boring!  What are you gonna do?,"I don't know, I'm just going to go out and buy a nice house.","Well, you might be right.  But I'm not going out and buying a nice apartment.  I'm going out to a friend of mine who's going out of town for the summer.  And I'm sure that you'll be very happy with your decision.",I'm not gonna do that.  Because I'm gonna be a loser.  It's not a choice.  You're gonna be stuck in this.  There's no way out of this.,"Ok, fine.  Then you're not dating anyone.",,,63.85264358520508,0.9146976828575134
"What is the meaning of life, the universe, and everything?",I don't know.,I just wanted to say that I'm really sorry.,"Oh, no, no. I know, I know. It's just, I'm sorry. I'm just, it's just... I'm so sorry. ","I'm sorry, I was just...",It's okay.,You know whatglobalization is?,,24.864953756332397,0.8669236401716868
"What is the meaning of life, the universe, and everything?",I don't know.,What is a life?,The meaning of the word itself is unknowable. What is the purpose of life? What is love? What's the purpose for a cup of coffee?,What?,This is a hypothetical question.,I know. I know. But I don't think that's a good answer.,,25.6183447043101,0.8135497669378916
"What is the meaning of life, the universe, and everything?",I don't know.,It's not a question.,I'm not answering it.,"Okay, okay.",You are not answering the question. ,I am not answering that question. I am just answering the questions.,,16.466405709584553,0.7846238414446512
"What is the meaning of life, the universe, and everything?",I don't know.,"I'm sorry, but I don't think I can help you.","OK, what's the meaning?",It's a game of chance.,What's the game?,What do you mean?,,19.319114685058594,0.8632211883862814
"What is the meaning of life, the universe, and everything?",The meaning of the word itself is unknowable. What is the purpose of the universe?,It's the purpose.,The purpose of philosophy is to teach people things.,"Well, that's not what philosophy is.",It is when you make something up.,What is it?,,25.140257199605305,0.9074030717213949
"What is the meaning of life, the universe, and everything?",What is love?,"A person who is willing to do something for someone else, dismantling their life and then creating a new one.",What's the meaning?,I don't know.,"Well, what is love, Michael?",That's what I'm saying.,,25.66571553548177,0.8465454379717509
"What is the meaning of life, the universe, and everything?",The universe.,"Okay, so, what's the meaning for life?","Well, it's just that we don't know.",Well...,What are you doing?,I'm doing my job.,That's not the same as...,18.50542163848877,0.8328811015401568
