Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I'm not a Christian.,What is your religion?,"No, it's not.",Religion is not a thing I  can readily explain.,Religious people are not people.,,,25.031144905090333,0.8209563851356506
"What is the meaning of life, the universe, and everything?",What is your favourite book?,"I don't know, I really like short stories.",What's your favorite book? What's your favourite movie?,"Hobbie, you're the best friend I've got.","Homer, you're my favorite customer.","Hah...Hobbled, you say it's too rocky. I've had some bad luck.",I'm Homer Simpson.,34.81974329267229,0.8360001955713544
"What is the meaning of life, the universe, and everything?",I'm not sure what that means.,"Well, I guess you can say that after what you did to my father.",I guess you could say that.,He was a good friend.,You do?,I really don't think so.  He was a great friend.  I wish I was still in his position. ,I don't know.,28.633596352168492,0.8484675884246826
"What is the meaning of life, the universe, and everything?",What is life?,What's there?,Why do you ask?,I'm not sure.,What do you mean?,The Force is strong with this one.,I wonder what the force is.,13.982646260942731,0.8573040451322284
"What is the meaning of life, the universe, and everything?",What is a person?,"What do you mean, you people don't believe in god.",What are you talking about?,I don't think so.,You think?,,,18.645169830322267,0.8975473761558532
"What is the meaning of life, the universe, and everything?",I think you're missing the point.,"I don't know, I just don't understand.",What is this?,"I'm afraid I'm not quite sure, sir.",Why not?,Why are you asking me this?,Why do you think so?,17.739884785243444,0.8877012985093253
"What is the meaning of life, the universe, and everything?",I don't know what that means.,What is it?,What do you think about the meaning?,I think it's perfectly safe to assume that you're perfectly safe from the Emperor himself.,I'm not sure.,How safe is it to assume this?,It's safe to say that the Emperor is the Emperor.,24.0794905935015,0.8833699737276349
"What is the meaning of life, the universe, and everything?","I don't understand what the meaning is of life, the universe, and everything.",What is it?, Moderation is a key part of life.,Everything is relative.,I have a lot of questions.,How is life?,What does life have to do with anything?,20.026664665767125,0.8692345534052167
"What is the meaning of life, the universe, and everything?",What is life?,"What do you mean, 'what is life? '",What's life? What's the meaning?,I've lost it.,What am I?,,,17.72288589477539,0.8887637257575989
"What is the meaning of life, the universe, and everything?",I am.,I know.,You're not.,"Well, I don't know.  How am I supposed to know?",Not sure if you're joking or not. I don'think you know.,What's going on?,"Yeah, I'm sure.",23.632660184587753,0.8735681005886623
"What is the meaning of life, the universe, and everything?",I don't understand what the meaning is of life.,I can't understand why you're asking this...,What's the meaning to life?,The Force is strong with this one.,What is life? What is death?,I think we've found out what happened to our resident Jedi.,Why are we here?,28.295019558497838,0.8718521680150714
"What is the meaning of life, the universe, and everything?",What is a God to a non believer?,What makes you think there are any other forms of life out there?,I don't think there is a single form of life outside of the Universe.,What are you talking about?,How do you know?,I know.,You don't know?!,21.286417279924667,0.8931803277560643
"What is the meaning of life, the universe, and everything?",I don't know.,How do you know?,The answer is yes.,I've felt it.,I know. I feel it.,What is it?,What if I don't?,14.114832060677665,0.8650749240602765
"What is the meaning of life, the universe, and everything?",The meaning of the universe is a mystery to me.,What is it?,I have no idea.,How did you get in there?,There's a hole in the door.,"No, wait!",There is a hole,16.583534445081437,0.8147836753300258
