Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The universe is boring.,Why does everything in this universe feel so boring?,Because we live in a world of routines and rhythms.,I don't understand why this is so hard for people to understand.,"Well, it's a world with lots of rules.",What is this world?,,,26.291325251261394,0.8519980907440186
"What is the meaning of life, the universe, and everything?",Life is what it is.,What is life?,It's a mystery.,I'm not sure what that is,It is a philosophy.,Is this a joke?,,,18.796981811523438,0.8487375477949778
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What do you mean?,What's life??,"I mean, what is it, like, two hours?",It's like two hours.,,,17.08234230677287,0.8650530974070231
"What is the meaning of life, the universe, and everything?",The universe.,What is a real meaning of the universe?,It's a jokey question.,I don't get it.,"I mean, I can't believe you're asking this.",Why do you think that?,,,20.48384682337443,0.8687048852443695
"What is the meaning of life, the universe, and everything?",The universe is boring.,What is life?,The point is that I am not an idiot.,I don't get it.,"Well, you don't.",It's not a joke.,,,17.94454272588094,0.8740870157877604
"What is the meaning of life, the universe, and everything?",It's just a garden party.,What is life?,It is a garden convention.,I don't know what that is,It...,It isn't a convention,It doesn't have to be a convention. It could be a garden... thing.,It could be anything. It could even be a thing.,23.93583881855011,0.8362808302044868
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What do you mean?,The meaning of the word itself?,Why do you think that?,,,15.624736467997232,0.8002683023611704
"What is the meaning of life, the universe, and everything?",The meaning of your life is to get back to work.,What is my purpose?,To get back at you.,I'm not sure what you mean.,"Well, you said that you were getting back at me.",You're getting back to me.,,,22.591641108194988,0.8773580491542816
"What is the meaning of life, the universe, and everything?",I think you're right.,I don't think it's possible to have a world without the meaning., Ariel.,What is it?,The universe.,How do you know what is and isn't a world?,I can't say.,Are you sure?,22.968361914157867,0.7356319651007652
"What is the meaning of life, the universe, and everything?",The universe.,What is life?,What do you mean?,What's life? What's life not having a life? I'm confused.,What?,I'm confused,,,19.853377262751263,0.8268324832121531
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What do you mean?,Do you think you're a good speaker?,what is the purpose of life?!,,,17.57971461613973,0.8572359581788381
"What is the meaning of life, the universe, and everything?",It's not a question.,I think you're asking a question.,I'm not.,You don't think the meaning is obvious?,No.,Why not?,,,17.290131131807964,0.8479375541210175
"What is the meaning of life, the universe, and everything?","Life is pointless.  Life is pointless because you can't do anything about it.  You can't.  I don't care if you die tomorrow, I won't care that you died today.  If you die today, I want you to be happy.  Because I care that today you're both dead.  And I want it to be the happiest day of my life.  Happy?  Not even close.  So I'm going to go get my own cake. ","If you die, you're gonna die.",I don't know.  Maybe.,So you can you?,I can.,I'm not.,,,56.69389422734579,0.9014588892459869
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,The meaning of the word itself is unknowable. What are you doing?,What do you mean?,I'm trying to figure out what's going on in your head right now.,I am not a mind.,,,20.66102933883667,0.8599107166131338
"What is the meaning of life, the universe, and everything?",Life.,What is life?,It's a book about philosophy.,I don't get it,What are you doing?,What's a zen book?,,,17.06185456116994,0.8201443950335184
"What is the meaning of life, the universe, and everything?",I think you mean 'the universe'.,The universe is a lot like the universe.,"The point is, you can't just jump out of a plane.",The sky is a big place.,Yes.,Are you referring to the sky?,,,22.108042637507122,0.8170545200506846
"What is the meaning of life, the universe, and everything?","The universe, the meaning, of life.",What is a universe?,It's a jokey way of saying that Stanley is a joke.,"So, a joke?","No, no, no. It's not a joke, it's not funny.",It is a very serious thing.,,,24.639108498891193,0.8950961629549662
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's a mystery.,How do you know?,Because I'm with Jan.,Why are you here?,,,16.833900372187298,0.7854820092519125
"What is the meaning of life, the universe, and everything?",It's just a thought.,What is this?,What are you thinking Christ?,What do you think Christ is?,I don't know.,Why do you believe in Jesus?,,,17.044108867645264,0.9090371429920197
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I'm not asking what life is. I'm asking what it is.,I know.,I think you're asking too much.,Life is a thing.,,,18.34858242670695,0.8736653029918671
"What is the meaning of life, the universe, and everything?",I think you're asking too much.,So what is the purpose of life?,The purpose of death is to eat.,I'm notvised.,"You're not.  You're not, you're not the only one.  And you're also dead.",What is my purpose?,,,31.68680461247762,0.840888778368632
"What is the meaning of life, the universe, and everything?","It's not that, it's just a stupid movie.",What is wrong with this movie?,It insists upon itself.,I love this movie.,What do you think it is?,What does that even mean?,,,23.17587661743164,0.8521776497364044
"What is the meaning of life, the universe, and everything?",I think you mean the universe.,I thought it was the universe.,"No, it's the meaning behind closed doors.",Is it the meaning in the universe?,Yes.,So what is the point of life?,,,21.429706811904907,0.826326588789622
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What does life mean?,It means nothing.,what does it mean??,,,14.568646589914957,0.8609614670276642
"What is the meaning of life, the universe, and everything?",It's not a question.,What is life?,It is a mystery.,I don't understand,What are you doing?,What do you do?,,,14.70811931292216,0.8367648422718048
"What is the meaning of life, the universe, and everything?",The meaning of the word itself.,What is it?,"The universe, the meaning, of life.",I don't get it.,I think you're being a little too modest.,"The Universe, the meaning, of life.",,,22.166148503621418,0.80882594982783
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I'm gonna answer that one question.,So what is life,What's the meaning?,What are the rules?,,,18.96324396133423,0.8351930677890778
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,The meaning of the word itself.,Why is it not?,Because it's a sentence.,How is that not a sentence?,,,15.480465730031332,0.8232343991597494
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,"What's the meaning, the meaning behind life?",What does life have to do with it?,It's not a big deal.,Why is it a big thing?,,,15.646730581919352,0.8641116122404734
"What is the meaning of life, the universe, and everything?",I think you mean philosophy.,I have a very strong feeling that you are a troll.,I am a rational consumer.,So you are saying that you think you are an expert on things you don't understand?,"Yes, I am.",You are a philosopher?,,,26.414971272150677,0.8211169143517812
