Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,Do you know what the meaning is?,The meaning is that you are not alone in this life. You are all one. And together we make one soul. And that's what makes us one.,I know. I know. And I know what I'm doing.,And that is the key.,Yes.,,30.26366464296977,0.8192764719327291
"What is the meaning of life, the universe, and everything?",What is love?,I don't know.,What?,Nothing.,You know what? I'm not going to tell you. I'm going to say something that I'm passionate about.,"Well, I'm very passionate about the idea of love.",,16.363372484842937,0.865929385026296
"What is the meaning of life, the universe, and everything?",It's not a question.,I don't know.,Do you think you can answer it?,"No, I don't.","What do you mean, 'what?'",Do I have a question?,,16.138728459676106,0.8958045442899069
"What is the meaning of life, the universe, and everything?",I don't know.,Do you have any idea what it is?,It's not a joke.,I'm not joking.,It is a jokeished universe.,"No, it's not.","Yes, it is.",17.116184983934676,0.822164169379643
"What is the meaning of life, the universe, and everything?",It's a joke guys.,"No, it's not.",I know. I know.,You're not a joke.,"Yeah, I'm not. ","Oh, you know what?  I'm just going to go ahead and say that I'm really sorry.  I really, really think we should just go ahead with this.",,17.343252817789715,0.8729548950990041
"What is the meaning of life, the universe, and everything?",The universe is a liar.,"The truth is, it's not.",I'm not lying.,"It's not, it isn't.","Yes, it is.","No, it really is.  It's not a lie.  You're lying.  I'm lying. I'm not a liar!  I am a liar  I have been lying all along.  And I am going to tell you what I learned.  That I learned that the universe is not a place for lies.  But it is where lies are born.  So let's go.  ","Okay, Michael.",44.55953114373343,0.8483764358929226
"What is the meaning of life, the universe, and everything?",I think you mean the sumo suit.,"Yeah, that's what I meant.","PB and J, my man.",You mean the suit?,Yeah.,What?,,24.282162229220074,0.7641760210196177
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, what is the point of your question?","The point is, I'm not going to be able to sit here and answer it.","I'm not gonna be able, I can't.","No, you canTools are very helpful for severance packages.",You can't do that.,,30.837855021158855,0.8431177834669749
"What is the meaning of life, the universe, and everything?",Life is pointless.  Why do you think you're so popular?,I don't know.,I'm not popular.  I like being popular.,What?,You're popular!  You're popular. You're a figure popular popular popularity., I'm not.,,36.956127882003784,0.8590422570705414
"What is the meaning of life, the universe, and everything?",I don't know.,It's not a question.,I know.  It's a statement.,Okay.,How do I feel about this?  I think it's wonderful.  And I think that we should celebrate.,What do you think?,,25.65040111541748,0.817927767833074
