Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",What is life?,What are you doing?,"It's not about what I do, it's about what the other person does.",What do you do?,I do what I want.,"No, you don't.",I want to be a robot.,15.852950368608747,0.9049158607210431
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of the universe.,What's life? What's the universe?,What?,Why do you think?,Because I unlimited the number of times I've asked you to give me a raise.,Why did you think that?,21.90200744356428,0.8675555416515895
"What is the meaning of life, the universe, and everything?",What is life?,"I don't know.363,000 years.","What's the meaning to life? What is life, and why is it here?",What are you doing here?,I'm not here.,You're not here.,I am not here,21.444838660103933,0.9054871882711139
"What is the meaning of life, the universe, and everything?",I think you're missing the point of the video.,"No, I'm not.",You're not wrong.,"I'm not, I just... I don't know.",I know you are,"I just, I don'I don't think you are.",Who are you?,23.946245738438197,0.9306431753294808
"What is the meaning of life, the universe, and everything?",I think that is the point.,I'm not going to tell you what to do.,Why not?,Because I don't know.,But why?,"I don't really know.  I don'I don' I don''I don'' I don, I donno, I just don't.",I have no idea.,28.550252165113175,0.9029616372925895
"What is the meaning of life, the universe, and everything?",This is the most profound thing I have ever read.,"Oh, I don't know, I thought it was interesting.",I think you mean the opposite of what you think.,I don't think it's interesting. I think it was very interesting. But I don'it's not interesting. It's not like a romantic dinner party.,The fact that you think it is interesting is the only thing that makes it interesting.,"It's not about the fact that it's fascinating, it's about the relationship between you and your boss.",Interest,41.77707862854004,0.862979165145329
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,The meaning of the word?,The universe.,What do you mean?,"Well, the meaning is in the words.",That's not how the word is used in the English language.,15.820269448416573,0.8176759736878532
"What is the meaning of life, the universe, and everything?",What is life?,What are you doing?,I'm not.,What?,But what?,I can't believe this is real.,What?,13.187331335885185,0.9064184256962368
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of a person.,What does life mean to you?,What do you mean?,what do you think?,I think that you're right.,I'm not sure what you mean.,16.00435107094901,0.9071239147867475
"What is the meaning of life, the universe, and everything?",I have no idea what I'm trying to say.,Okay.,What is life?,The meaning of the universe.,I don't understand what you mean by that.,"Well, what is the point of life?",What's the point in life? I don't know.,18.058665684291295,0.773154616355896
"What is the meaning of life, the universe, and everything?","I am a bot, and this action was performed automatically. Please contact u Frozen Aurora if you have any questions or concerns.","Well, I'm sorry, but I can't do this.",This is not a bot.,What is it?,You have been banned from r pyongyang,,,38.76356391906738,0.8160674214363098
"What is the meaning of life, the universe, and everything?",What is life?,What are you asking?,I don't get it.,What's the meaning?,It's not the meaning.,I'm asking what the meaning is.,I can't think of any.,15.10737555367606,0.8971492903573173
"What is the meaning of life, the universe, and everything?",What is life?,I don't know.,What's life?!,I'm not going to tell you.,I think you're thinking of the other one.,I know. ,I like the one you have,18.66353334699358,0.8834526283400399
"What is the meaning of life, the universe, and everything?",I don't understand what is so special about this.,It's a question.,What is special about that?,"Well, it's a test question. I mean, it doesn't really matter.","Well, it's not a test.","I'm sorry, are you serious?",It is a test,23.58598041534424,0.8420216270855495
"What is the meaning of life, the universe, and everything?",What is a question?,I don't know.,What's a question,What are you doing?,I'm not even sure.,What?,How do you know?,15.23082331248692,0.8418437497956412
"What is the meaning of life, the universe, and everything?",What is life?,What are you talking about?,"It's not a question of what is life, it's a question about what is a question.",What?,I think it's more of a question,What do you think?,Why would it be?,20.98465190614973,0.8698889102254596
"What is the meaning of life, the universe, and everything?",What is lifefrog?,What's the meaning?,what is life,What?,I think I've found the answer to life,I don't know.,What do you think life is?,21.26011119570051,0.8864533390317645
"What is the meaning of life, the universe, and everything?",I don't know what to say.,What are you doing?,What is life?,I am not going to tell you what to do.,What's life?!,I'm not going out on a date with you!,What do you think about yourself?,18.79619857243129,0.8652907524790082
"What is the meaning of life, the universe, and everything?",The meaning of your life is to be happy.,I'm not saying that's the answer.,What's the meaning to life?,The answer is to find happiness.,"The question is not to find joy, but to find the joy of being happy. This is a good question.","Michael, I don't think you're qualified to answer that question.",Why do you think that?,28.07842023032052,0.9158926861626762
"What is the meaning of life, the universe, and everything?",What is life?,I don't know.,What's life? Is it something you can choose to be?,"Life is like a box of chocolates. You know what, I don't think I can choose. I think I have a good chance. I don'I think I'm gonna have to choose.","Life, you know.",You're gonna have a lot of fun tonight.,I'm gonna go ahead and do that.,31.943494524274552,0.9057215196745736
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,The meaning of the word?,The universe.,What does the universe mean?,It means something that we have to live with.,Is that what it means?,15.597368512834821,0.8643156886100769
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,The meaning of the universe?,The universe.,What does the universe mean?,I don't know.,I'm not sure what the universe means.,12.801928792681013,0.8845663240977696
"What is the meaning of life, the universe, and everything?",What is your favorite movie?,"I don't know, I just know.",How do you know this?,How can I know that?,You're not a man.,I know that.,I'm a man,16.469083104814803,0.8884913921356201
"What is the meaning of life, the universe, and everything?",It's a good thing you're here.,I'm here.,So what are you doing here?,I am here to talk about business.,I would like to talk to you about business.,What do you mean?,I wouldn't say I'm a business major.,17.04023129599435,0.8960670828819275
"What is the meaning of life, the universe, and everything?",This is the most pointless thing I've ever read.,I don't know what to tell you.,What is this?,It's a series of tubes that connect us all into one.,"I'm not sure what this is, but it sounds like something out of a TV show.",It is a series.,It looks like a cat.,25.29802063533238,0.867845961025783
