Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,ItOSH!,What is it?,What?,I think it's a meteorite.,"Oh, that's not it.",,20.354302485783894,0.7165976961453756
"What is the meaning of life, the universe, and everything?",It's all a lot of simple tricks and nonsense.,"I'm not gonna lie to you, I think I'm gonna die.","Well, I'm not going to argue with that.",You can't die. You're a Schrute.,But what if I told you I was going to live?,I don't think you can.,,30.552218437194824,0.8660981754461924
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,What is love?,"What do you mean, 'I can't see.'You can't even see.",I don't care what you think.,"Luke, don't worry about it.",Why?,"You see, it's what I always wanted.",23.386531625475204,0.8681036063602993
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,"No, no, no.",You are not a Jedi. You are a mindless mindless being. You do not understand the Force. You seek to destroy it.,I do understand the force.,"Your feelings on this matter are clear, Master Luke. I have accepted the truth that you are my father.","Well, I am not a master. I am a submissive submissive camper.",,35.91164493560791,0.8617831965287527
"What is the meaning of life, the universe, and everything?",It's not my fault.,"I'm sorry, you're not allowed in here.","You can't escape me, Leia.","Well, you can't, but you can always come back.","Oh, no!",No!,,22.027194420496624,0.8552005986372629
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?",I bid twenty dollars on a house you can't afford.,What's thy bidding?,Twenty dollars.,I'll pay you three.,Three fifty?,,26.473916053771973,0.7006086061398188
"What is the meaning of life, the universe, and everything?",What is it?,"The universe, the anus, the groin.",What are you afraid of?,I'm afraid of dying.,I don't know.,Do you think you're gonna like it? ,,18.557039578755695,0.8217076162497202
"What is the meaning of life, the universe, and everything?",What is it?,"The meaning of my life is to be strong, and to survive. And I'm doing that today.",What's the meaning?,Survival.,The ability to see the future is what makes us powerful.  We are not mindless mindless machines.,"So, what's the main difference between a salesman and a saleswoman?","It's a technical skill.  It's not a technical ability.  A technical skill is what you use to make aidad happen.  But, like every other technical  skill in the business, it's a labor of love.  You'll never outmaneuver a businessman like me.",34.66040774754116,0.8044890250478473
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,What is love?,"What do you mean, 'I don't know'n'n?",I don'I don know!,What's goin' on?,You know what? I'm gonna go back to my table.,,26.767138957977295,0.8244644701480865
"What is the meaning of life, the universe, and everything?",I think you're looking for the philosopher's stone.,The wise man's stone is the best.,"I don't know, it just doesn't feel right.  I'm not a philosopher,  and I don't like the idea of being around people  who  don't understand my point of view.","Well, you know what?  I think you have a great point.",What's that?,You're right.,,39.88018520673116,0.872459352016449
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, what is the purpose of your question?",What is it?,Why is it important that I ask?,Well... it's not important.  How would you know?,"How would I know?  How many fingers am I holding up?  If I were holding up all of those fingers, I'd be able to see everything.  If you were holding all of the fingers at the same time, you'd be seeing everything.",How's that?,33.10547147478376,0.8930852838924953
"What is the meaning of life, the universe, and everything?",It's not my fault.,"No, it's not your fault.  It's just a fact.  You're all jerks.","Yes, my Master.",I'm not a master.  I'm a lowly sublet.  And I'm taking on a challenge.  What should I do?,You're not allowed to use that power on me.,"Well, I'm not.  So...",,41.26087951660156,0.8833528260389963
"What is the meaning of life, the universe, and everything?",You are not ready.,I am ready immutable.,What is it?,I'm ready. ,What do you mean?  Ready?,"Okay, you know what?  I don't think that's gonna work.  I think that is a stupid idea.",Okay.  Okay.,24.510791301727295,0.8183561308043343
