Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,The force is strong in this one.,The way you interpret it is different from mine.,I'm not saying the way I interpret it.,It's not what you think.,It is what you believe.,,,20.60263665517171,0.9242782195409139
"What is the meaning of life, the universe, and everything?",What is it?,It's not,What?,I know.,What's goin' on?,He's talking to you,,,14.10728927453359,0.820246418317159
"What is the meaning of life, the universe, and everything?",What is it?,Is it true that there is no meaning of the universe?,It's a trick!,How do you know that?,I have felt it.,"You feel it, you can feel it.",,,19.402045647303265,0.8559712469577789
"What is the meaning of life, the universe, and everything?","Yes, my Master.",Are you the master?,I am.,Who are you?,Master Luke.,I'm Master Luke,"I've got to hand it to you, kid, you managed to pull that off.","Not the same Luke, but the same577.com.",20.42255401611328,0.7466365918517113
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I have no life.,But you have no friends.,I am not a committee.,You have no idea how many people would get this joke.,"It's a long shot, but I think I can make it.",Do you think you could make it?,21.449592769145966,0.8723855018615723
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,I don't know what that means,You controversy is pointless. It is pointless to argue with a Force that is strong enough to destroy us.,What do you mean?,The conflict is not over yet. The conflict is still looming.,The force is not the problem.The problem is that it is not a conflict.,,,33.42463159561157,0.8151847620805105
"What is the meaning of life, the universe, and everything?",No. No. No! No!,So what is the purpose of the universe?,No! No.,So... what is life?,What is love?,What's the purpose for life? What's the meaning?,,,20.811071554819744,0.8049500087896982
"What is the meaning of life, the universe, and everything?",I have felt it. I have felt the Force.,How do you know?,I am not strong enough to destroy the Emperor.,I'm not strong,I feel the Force flowing through me.,The Force is strong with you.,,,23.731850306193035,0.8374562362829844
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I'm afraid I'm not quite sure.,Is that a question?,"What's the matter, kid?",What are you doing?,,,16.443231185277302,0.8159012198448181
"What is the meaning of life, the universe, and everything?",You will know when you are ready.,I don't know what that means,I have a very bad feeling about this.,You are now on a watch list.,I'm sorry.,Please don't be a spoiler.,,,20.860838492711384,0.8251532812913259
