Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The meaning of your life is to find happiness in a way that you can love yourself.,"Okay, what's the meaning?","I think it's to find love in a place that you love yourself, and I think that's what you're asking.",I'm asking you a question.,You're asking me a question?,It's a stupid question.  You're asking if I'm a genius.,,29.81021738052368,0.9306989709536234
"What is the meaning of life, the universe, and everything?",I don't know.,It's not a question.,You're right. I don't think you're right either.,I'm not right.,"Well, I don'I'm right. You're right, I'm right, we're all right. Okay, let's just, let me get back to you.","No, no, no.",,27.905879974365234,0.851194848616918
"What is the meaning of life, the universe, and everything?",I think you're missing the point.,I don't know what the point is.,What's the point?,What is this?,"Well, I don't think it's the most important question.",But it's a loaded question. What is the most importance?,,16.325894037882488,0.9146437446276346
"What is the meaning of life, the universe, and everything?",I don't know.,"I mean, what is the point of a spoon?",To spoon.,"So, I'm not the only one who's not getting a cake, I am also getting a birthday cake.",What?,"Well, I got one.",,25.28526282310486,0.7739187876383463
"What is the meaning of life, the universe, and everything?","Well, I think you're going to find it in the wild.","I have to say, I find it quite charming.",You are not going to be disappointed.,Well...,It's a little bit of a wild ride.,Yeah.,,25.360874613126118,0.807838092247645
"What is the meaning of life, the universe, and everything?",It's just a bunch of guys hanging out.,You know what? You guys should join us at Dunder Mifflin. We'd all love to meet your new boss.,What?,"You should come to my art show, by the way.","Yeah, I do.",Okay.,,29.9162179629008,0.8372668127218882
"What is the meaning of life, the universe, and everything?",I think you're right.,The meaning of the word is 'impossible.',"The word is, 'impotence.'",That's the word.,"No, that's not the word!","Come on, come on, let's go.",,20.865617593129475,0.8616989354292551
"What is the meaning of life, the universe, and everything?",I don't know.,It's just that you said you don't have any idea what life is.,I know. I just... I don't.,You should.,"No, no, no.",Yes.,,20.875154892603557,0.854700098435084
"What is the meaning of life, the universe, and everything?",I don't know.,What are you doing?,"Well, I'm not doing anything.","I'm not, I don't want to do anything. ",What?,You're not doing any of the talking.,,17.00774868329366,0.892403910557429
"What is the meaning of life, the universe, and everything?",The meaning of the universe.,What is love?,What's love? What's the meaning? What is the point? What are you trying to say?,I don't know.,I think you should answer that question.,No.,,21.19138212998708,0.860304077466329
"What is the meaning of life, the universe, and everything?","The meaning of your life is to be born into it. And the meaning is to live, and to have a great time.","I'm not asking for a great price, I'm just curious what it is.","Well, what do you mean by that?","I mean, what are you expecting?",What are you asking?,Do you think that we should offer free delivery on orders over 60 dollars?,,32.161889712015785,0.9240359564622244
"What is the meaning of life, the universe, and everything?","The meaning of the word 'the universe,' is the universe itself.",I think you're right.,The universe is the key to our lives.,What is that?,It's a key to the universe.,"Yes, it is.",,24.739713112513225,0.8005320032437643
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,"Baby don't hurt me, don't hit me, hurt me.","Baby, don hurt me!","I'm not gonna hurt you, I'm not going to hit you!",Baby...,Baby get away!,23.840685163225448,0.8156040566308158
"What is the meaning of life, the universe, and everything?",It's a little more than a little bit.,I don't know.,It is a little.,What is love?,Baby don't hurt me.,Don't hurt... me. Baby don't... me!,,17.53738784790039,0.820027103026708
"What is the meaning of life, the universe, and everything?",The meaning of the universe.,It's not a joke.,"No, it's not.",I know.,"Well, I know. It's a joke, it was just a thought.",You're joking right?,,19.495477358500164,0.8473945955435435
"What is the meaning of life, the universe, and everything?",I don't know.,Do you know what the meaning is?,Do I know?,"No, I don't.",I know. ,I think you do.,,15.695954163869223,0.9131590127944946
"What is the meaning of life, the universe, and everything?",The meaning of my life is to be the best I can be.,What are you doing?,I'm trying to figure out what's going on.,I can't.,"Well, I'm not gonna say it.","No, you're not.",,18.839921315511067,0.8953815499941508
"What is the meaning of life, the universe, and everything?",I don't know.,Do you think you're making any sense?,No.,You're making some very dangerous assumptions.,Okay.,I'm not gonna tell you anything.,,16.371623555819195,0.7606368958950043
