Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The meaning of all is the king's; the king is the son of the son.,The king is a son.,The son of a king?,I'm pretty sure he's the son. He's the king.,"Why, then he's not the son, but the son to the king.","He's the father of the king, the son is the father.",,,28.836910247802734,0.9324122766653696
"What is the meaning of life, the universe, and everything?","Amen, amen.",It's a quote from the movie.,I would not have it so.,I wouldn't have it any other way.,A most kind of woe.,A woe is a wave of hope.,,,23.062134106953938,0.726664329568545
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof, the purpose of life; The meaning of all that is, the cause of all.",What is death?,"The very meaning of it; the meaning, the matter, Of all that's in it.",I don't understand.,What's the matter?,What a strange thing to say.,,,31.62210528055827,0.8520962198575338
"What is the meaning of life, the universe, and everything?","What is it, that you would wish me dead, and that I should live?",It's a rhetorical question.,I am not so sure.,What's the meaning?,"To live, if you would but wish me death.",Why do you want to live?,"Why live, I hope?",Why? What's the purpose of life?,27.42294681072235,0.8476245924830437
"What is the meaning of life, the universe, and everything?","Well, I think it is, if you believe it not.",I don't think it's.,"Well then, let's hear it.","No, I'm not.","What, no?","You're right, I don't believe in the existence of the universe.",,,21.93883005777995,0.9148135979970297
"What is the meaning of life, the universe, and everything?",It is the end of all.,What is life?,"The beginning of all, but the end.",The end of life? What is life,"The very end, if it be not the end?",The start of life.,,,25.835289637247723,0.8700474798679352
"What is the meaning of life, the universe, and everything?","Away with the flesh, away with the soul!",What is love?,"A kind of love, if you will be so brief, and that love be brief too.",What's love? What's love for you?,"What, I pray?",What do you pray?,,,29.538754145304363,0.8738468388716379
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof; The meaning of all that is; The purpose of all, the matter, The purpose and purpose of life: all of that is.",What is life?,The purpose of death: that which is the end of all.,The point of life is to be the end.,And what's the purpose of that?,"Well, there is a purpose of existence.","Well, there is no purpose to any thing.",Well the purpose is to have a purpose.,33.3750855922699,0.9072032570838928
"What is the meaning of life, the universe, and everything?","The meaning of it is, the meaning thereof, as I guess, That shapes our lives and makes us better.",What is life?,"The means of life: the meaning, as we guess, Is that which shapes our loves and ours.",How do you know what is life and what is love?,"If love be the centre of your love, then love the centre.",But what is the center of love? Love is the centre.,,,45.304280598958336,0.9203898807366689
"What is the meaning of life, the universe, and everything?","I am a subject, a subject; a subject indeed, and I do believe the world.",I believe the universe is a subject.,"O, the heavens! the heavens, the gods! O heavens! O what a world is this!","O, the sky!",O heavens!,I have a dream!,,,33.300509770711265,0.814538449048996
"What is the meaning of life, the universe, and everything?","The meaning of it is, the meaning, the end.",What is that?,"The matter, the matter, that is the matter.",The universe is the universe.,"What, is the world the matter?",What's the universe?,,,26.042685349782307,0.8643878996372223
"What is the meaning of life, the universe, and everything?","The meaning of it is, the meaning itself, and the meaning.",What is a'meaning of '?,The very meaning. What is the very meaning?,What does the meaning have to do with anything?,"What's the meaning, then?",I'm not sure.,,,29.904541333516438,0.8832806050777435
