Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I am a Jedi Master.  I have the power to destroy the Emperor.  But I cannot destroy the Force.  Why must you destroy me?,You have chosen to serve Vader  Darth Vader.  You are now my only friend.,"But I am not a Jedi, nor am I a mindless servant.  My father was seduced by the dark side of the Force and became a Jedi by it, and I have since taken it upon myself to train him as my master.  Now I am the master.","Master Luke Skywalker, what good will it do you if you die?","It will be the end of me, my son.  If you will not fight, then I will.",,,64.14805908203125,0.891865861415863
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,But what about Vader?,He's dead.,"Well, that's it. I'm done for.",You're going to the Dagobah system?,"No, I'm not going prolong my stay.",,22.713700930277508,0.8183348178863525
"What is the meaning of life, the universe, and everything?",I don't know.,What do you think of the Academy now?,It's pretty good.,I know.  It's pretty big.,How big is it?,About three or four stories high.,,20.125184774398804,0.8559556603431702
"What is the meaning of life, the universe, and everything?",I'm afraid I can't quite understand your logic.,Then why don't you just tell me?,Why don't we just wait and see?,"Well, he says he's been trying to find a recording of himself talking to her.",I don't think he has time for that.,Well... he says she's been quite busy.,"Oh, no! I don't want to interrupt his recording.",30.093897683279856,0.8773119023868016
"What is the meaning of life, the universe, and everything?",No.  What is it?,I'm afraid I'm not quite sure.  I don't know what you're talking about.,"What is it, kid?  What's it?  I must know.",The Force is strong with this one.,"Yes, my Master.  My father.",I am the father.  The father of this boy.,,30.8171485265096,0.85710409283638
"What is the meaning of life, the universe, and everything?",No. You can't explain it to me. I'm a computer.,But what about the droid?,It's too big to be a droid.,I'm not a computer!,What about that droid? He seems pretty big.,"It looks like a computer to me, sir.",,26.50036907196045,0.8566409945487976
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?",I am become Death Star.,The Emperor has foreseen this.,I see it.,"It is you, my son.",Your faith in the Force is strong with this one.,,22.781742413838703,0.813286284605662
"What is the meaning of life, the universe, and everything?",I don't know.,What is it?,"What do you mean, 'I don'know '?",That's right.,"Well, I'm sorry.",I'm not quite sure.,How's that?,19.059243747166224,0.8201951554843357
"What is the meaning of life, the universe, and everything?","I am become Master Luke Skywalker, master of the Jedi Knights.",Then you must become the Jedi Master.,I have become the Master of this battle station.,The battle station is down!,The Rebels are coming.,No. The battle station will be down in moments.,,28.260192553202312,0.8238434692223867
"What is the meaning of life, the universe, and everything?","I am not a philosopher, but I know a lot about things.",What is it?,It's like poetry.,"I don't know, it just flows like one.",It really is.,That's all right. We're fine. We can move on to the next ship.,,21.825795729955036,0.8689684669176737
"What is the meaning of life, the universe, and everything?","Yes, my Master.",But what about the droid?,He's dead.,Yes.,What about the Wookiee?,No.,,19.877966423829395,0.733072300752004
"What is the meaning of life, the universe, and everything?",I have a very strong feeling about this.,What is it?,It's not my fault.,I don't know.,How could you know?,He says it's impossible.,,15.727487087249756,0.853784849246343
"What is the meaning of life, the universe, and everything?","Yes, sir.",What is it?,A miserable pile of fur and stone.,A wretched hive of scum and villainy.,I have no memory of my father.,Your father was a great fighter.,You will not be silenced.,21.251328127724783,0.7104880894933429
"What is the meaning of life, the universe, and everything?",It's a long way from here.,What is it?,A long way.,Where is it!,Where am I?,Where have you been?,,16.716951449712116,0.8281743327776591
"What is the meaning of life, the universe, and everything?",I have felt it.,The Force is strong with this one.,"Luke! Luke! Luke, let go of me.",That's impossible!,That boy needs therapy.,He's dead.,,22.662936369578045,0.7390924195448557
"What is the meaning of life, the universe, and everything?",You will die.,I can't die. I can't bring myself to kill myself.,Then you must not die. The sooner the better.,The sooner the happier.,"Han, you can't win.","You cannot win. You cannot win, Darth.",,22.630607922871906,0.8497949739297231
"What is the meaning of life, the universe, and everything?",I think it's time we demonstrate the importance of the Force.,I don't think you understand the importance or value of the Old Republic.,There's nothing more we can do.,Then we must go back.,But what if they find Vader?,Then they must be destroyed.,,30.499491691589355,0.8961700399716696
"What is the meaning of life, the universe, and everything?",What is it?,It's a long way from here.,What?,I can't understand why you're being treated so terribly.,"Well, he's not wrong.",I'm sorry.,He's not my type.,18.98561872754778,0.8175163098743984
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,"So, what is it?",It's a power I've never felt since...,"I am powerful, powerful......but...not...powerful.",But...but why are you asking me this?,Because I am.,,30.71527353922526,0.8746162156263987
"What is the meaning of life, the universe, and everything?",I have felt it.,Then you must know that you cannot control your actions.,I know that I cannot control my actions. I have no control over my destiny.,But what if I choose to destroy you?,Then I will.,You will not.,,24.080198605855305,0.8990453581015269
"What is the meaning of life, the universe, and everything?","No, I don't think so.",But what about the droid?,He's dead.,"Well, he's not dead, but he's frozen in carbonite.",What about Han?,Well he's in great shape. He'll be all right.,,20.62299172083537,0.8091342349847158
"What is the meaning of life, the universe, and everything?",I think I can help you.,I'm not going to argue with that.,"Well, I'm not gonna argue with you.  You can't win.",You won't.,What's so important?,Nothing.  What's important?  What is it?,,22.33283583323161,0.9045048852761587
"What is the meaning of life, the universe, and everything?",What is it?,The Force is strong with this one.,But what about Vader?,"He's dead, Luke.","I don't know, I thought he'd be dead by now.","No, he's not.",,19.133662939071655,0.8059492210547129
"What is the meaning of life, the universe, and everything?",No. I am not a philosopher.,You're not?,I'm not even sure.,I don't know.,"Well, that depends on your definition of the word definition.",,,17.690346240997314,0.861324667930603
"What is the meaning of life, the universe, and everything?","You can't destroy me, Obi-Wan.  I've been through enough.  You're my only hope.",I have been through a lot.  It's not wise to lose you to the Emperor.,"You will not be.  If you choose to face him, you will.",But you will be destroyed.,"If I don't choose to live, then I will be the  Emperor's last hope.  There is no god.",There is no God.,,48.59101994832357,0.9120842715104421
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,"You know, sometimes I wonder if we're as strong as we are.",But why are we still here?,We're not going anywhere.,The Empire won't be around long enough to make a dent in the bounty hunter's fleet.,"Well, they're not gonna get us out of here, sweetheart.",,30.247660954793293,0.8758245805899302
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?","You will find that I am powerful, and that I have power. I am not above you, and I have foreseen this.",You are now my witness.,The Emperor will see you now.,I'm on my way.,"Yes, my lord.",,31.816975593566895,0.859644740819931
"What is the meaning of life, the universe, and everything?","I'm afraid I'm not quite sure, sir.",What is it?,"What do you think of me, old man?",You're quite welcome.,"Oh, no!","I am not quite certain, sir, but I believe I am quite safe from the dark side of the Force.  It is too late for me to turn back, Admiral.  I have just received word that my application has been terminated.",I have accepted your application.,36.85030576160976,0.8088999135153634
"What is the meaning of life, the universe, and everything?","No, not really.",What is it?,I can't see.,I'm sorry.,No. No. No! No!,What's goin' on?,Nothing.,15.256933552878243,0.7940976619720459
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,I see it.,"You see, that's why I have to face Vader.",But what about that droid?,I think he's dead.,The Death Star plans have been changed.,,22.715553601582844,0.855267733335495
