Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The meaning of the universe is that you can't be happyrians.,"The point is, I don't think you're happy.","Well, you're not happy. You're not.","I'm not happy, I'm just happy. I'm not even happy. That's all I'm saying.","Okay, I'll just go back to my chair.","No, no, no. You can't go back. You have to go.",You can't.,32.00983101981027,0.9391023772103446
"What is the meaning of life, the universe, and everything?",I don't know.,What is a man?,A man is a person who looks at a person.,I'm not a man.,But I am a person!,"No, no, no. I'm not. 343.",,17.880979379018147,0.8627754350503286
"What is the meaning of life, the universe, and everything?",What is your question?,I don't know.,Why are you asking me this?,Because I have a question.,What are you gonna do?,Answer it.,,15.792811552683512,0.836701879898707
"What is the meaning of life, the universe, and everything?","It's not about the money, it's about the environment.",What do you mean?,Money is the essence of beauty.,I'm not a beauty pageant.,You're not a pageant. You're a loser.,How can I be a loser when I'm a loser?,,21.587884267171223,0.8355618814627329
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, it's not that I donery, I just don't want to be a part of it.","Okay, I'm sorry, I thought we were having a little debate.",I'm sorry.,What?,You're not even in the room.,,24.17801038424174,0.8648701210816702
"What is the meaning of life, the universe, and everything?",The meaning of the universe is to find meaning in something.,What is it?,It's the universe.,"I don't know, it's hard to explain.",It is.,Okay.,,18.898399988810223,0.8224413196245829
"What is the meaning of life, the universe, and everything?",I don't know.,It's a good question.,Yeah.,You know what? I'm going to ask you a question. Do you want to be a part of this?,No.,"Well, I'm not going to be part of the conversation.",,16.65532906850179,0.7474984327952067
"What is the meaning of life, the universe, and everything?",I don't know.,"So, what's the meaning for life?","Well, I don't think there's any.",Well...,What is it?,What do you mean?,,17.40541648864746,0.8413200577100118
"What is the meaning of life, the universe, and everything?",I don't know.,What's the meaning?,It's just a fun fact.,You know what?,What?,"Yeah, I don't like to hear it.",,15.13029678662618,0.8522088428338369
"What is the meaning of life, the universe, and everything?","It's not about what you think, it's about what we think.",What is it about?,"What's it about, what is it?",I'm not gonna say it.,"Well, you know what? I'm not going to say it, I'm just going to tell you what it is.","Oh, okay.",,23.517221609751385,0.8877369364102682
"What is the meaning of life, the universe, and everything?","Well, the answer is to ask yourself: what is the most important thing in the universe?",The most important question in the world is: what's the most interesting thing in this world?,"Okay, so what's a computer?",A computer is like a computer.,What is a fax machine?,I don't know.,,26.525514125823975,0.8657096028327942
"What is the meaning of life, the universe, and everything?",The meaning of the word life is the universe.,What is life?,I don't know.,I think you should know. ,I know. I know. And I'm just trying to figure out what it means.,That's so weird.,,21.81693188349406,0.9028466840585073
"What is the meaning of life, the universe, and everything?",What is life?,"I don't know, I don't really know.","Well, it's a very simple question. What do you think?",Well it's not really a question.,"I know.  I know. I know, and I'm asking.","It's not a question, it is a statement.",,24.464491208394367,0.8815843860308329
"What is the meaning of life, the universe, and everything?",I don't know.,You know what? I just don't understand.,I'm sorry.,It's okay.,What's the meaning?,What is this?,,14.901068766911825,0.849063108364741
"What is the meaning of life, the universe, and everything?","The meaning of the word 'the universe', is the absence of any physical connection between a human being and a worm.",I am a worm!,"I'm a worm, Dwight.","Hey, you know what? You should come back here and tell us all about the worms.",It's a worm?,I don't know.,,33.58046706517538,0.8066070377826691
"What is the meaning of life, the universe, and everything?","Well, you know what? I think we all have a right to ask you a question.",What is life?,What's the meaning?,It's a mystery.,Is it true?,I don't know.,,19.464712142944336,0.8559673627217611
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,What's love? What's love like?,It's like a movie.,"It doesn't have to be perfect, but it does have to have a certain message.","I'm sorry, Michael. I'm sorry.",,20.01001723607381,0.8446999291578928
"What is the meaning of life, the universe, and everything?",I don't know.,You know what? I don't think we should be talking about this.,"I know.  I know. I know, I know!  I don t know. You know, just go with it.",Alright.,Okay.,Yeah.,,26.94657317797343,0.8127261797587076
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,Baby don't hurt me.,"Baby, don't hit me. ",What's love got to do with it?,Nothing.,,20.91839877764384,0.8646255731582642
"What is the meaning of life, the universe, and everything?",I don't know.,What is a good question to ask a question?,What are the four pillars of human nature?,The three pillars of the human race.,"I'm sorry, what?",That's not a question.,,21.29719575246175,0.7651252945264181
"What is the meaning of life, the universe, and everything?",It's a mystery.,"I don't know, I don't think so.","Well, what is the purpose of life?",To make money.,What is that?,What do you think?,,17.140007813771565,0.8024584154287974
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, I think it's pretty clear that you're not gonna make it.",I think I'm gonna make the right choice.,What is life?,"What's the meaning, the meaning... of life?  What is it?",It's a game.,,26.066676298777264,0.8794714510440826
"What is the meaning of life, the universe, and everything?",I think you have a good point.,"So, what is the purpose of life?",To find happiness.,What is a happy life? What is a life without suffering?,"A miserable life is a place where you feel good about yourself, and you can't help but think, 'Wow, this is so great.'",It's not a place for happiness. It's a place to live.,I don't know. It seems like a place that could be a place you could go to get lost in a world of pain.,28.2393125806536,0.8695422496114459
"What is the meaning of life, the universe, and everything?",What's the meaning?,I don't know.,"Well, what is the point?",Well it's a very important question.,I'm not going to answer it.,It's not a question. It's a statement.,,15.663281122843424,0.860392282406489
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,"Baby don't hurt me, don't hit me, no more.","Baby, don t hurt me.",No more. ,Baby... don't touch me.  ,,23.513457934061687,0.8039829234282175
"What is the meaning of life, the universe, and everything?",I don't know.,I'm sorry.,What are you doing?,It's a big day for me.,It is?,Yes.,,14.634870926539103,0.8192293345928192
"What is the meaning of life, the universe, and everything?",I don't know.,I'm sorry.,"No, no, no.","It's just, it's not that complicated.","Okay, fine.",We're not going to do this.,"Yes, we are.",14.75606564113072,0.7901054705892291
"What is the meaning of life, the universe, and everything?",I don't know.,"I mean, what is the point of life?","Well, I don't think I can answer that question.",Well I don' think I know. ,"I know. I know, I know! I know I know it! I'm like, 'Hey, what's the point in life?'","I'm like 'Hey! Hey! Hey, what the hell is going on here?'",,32.023822943369545,0.8996387124061584
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, you know what? I think you're right.",I think I'm right. I think I know what the meaning is.,"Michael, this is not a place for you to discuss this.","You know what, I think we should just go.",Yes.,,25.761013746261597,0.8753223617871603
"What is the meaning of life, the universe, and everything?",I don't know.,I know. ,I'm sorry.,That's... that's not a real thing.,"Oh, okay.  ",That is a really cool idea.  What do you think?,,16.330541769663494,0.7869891226291656
