Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",What is life?,"What's the meaning, but what is the matter?",what's the matter?,That's the way to be the messenger.,The message is what matters.,"Why, then 'tis not so: but 'tis so, that 'tis a matter of principal.","Why,'tis not a matter.",,,27.55410099029541,0.9233360035078866
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of all is.,What's life? Edit : I'm sorry I'm a fool.,"The very meaning of that is, if it be not so.","I'm sorry, but what does the word'the'mean?",,,,,34.08578224182129,0.8300392508506775
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of all.,What does life mean to you?,What means your love to me?,Love is a process.,,,,,18.166844177246094,0.8407323598861695
"What is the meaning of life, the universe, and everything?",What is life?,What's love?,what's the meaning?,,,,,,,15.405152638753256,0.9071443478266398
"What is the meaning of life, the universe, and everything?",What is life?,What's love?,Baby don't hurt me,"O, sweet love, sweet do not hurt me!",What am I?,,,,,22.148284339904784,0.844612205028534
"What is the meaning of life, the universe, and everything?",I have no idea what the meaning is of life.,"Therefore, I pray, ask your father.","I pray, ask your mother.",I know not what to ask her.,Why do you ask her?,"Because she's a woman of noble blood, and therefore, as I guess, is not of noble spirit.",How do you know what I mean?,,,29.00527627127511,0.8845606020518711
"What is the meaning of life, the universe, and everything?",The meaning of your life is to be alive.,"O, let me have it, and I will.",You're not a real human being.,"If you were a thing, you would cease to be a thing.","If I were a real person, I would cease being a thing.","You are a thing: you are a human being: you have a thing called a thing; you are not a thing that's called a human thing: a thing you are, but a thing is called a'thing 'twere called a being: it is a thing being called a creature: it's a thing to be so called a person: a being called so, being so called, being called, is a creature.",,,,27.887362480163574,0.9202742377916971
"What is the meaning of life, the universe, and everything?",I don't know.,"Why, then, 'tis a strange thing.",I do.,"Then, by my troth, what is the matter?",Not really.,You are the first that ever told me this.,You don't think I know?,,,24.724642413003103,0.8460793920925685
"What is the meaning of life, the universe, and everything?",What is your favourite movie?,"A book of philosophy, sir, of the third kind.",What's your favorite book?,"My most precious, my most sacred, my precious.","I am a god, my goddess.","What, art thou myself?","I, am thou, thou, and thou, are thou, myself?",,,29.849133491516113,0.8073138764926365
"What is the meaning of life, the universe, and everything?",The meaning of the word is the same as the meaning in the Bible.,"What is it that you speak of, that you think is the matter?",I don't know. I don't believe in the matter.,"I pray thee, tell me, man, what is the purpose of this?",There is no purpose.,The purpose is to lie with the devil.,What purpose?,,,29.94619587489537,0.870204074042184
"What is the meaning of life, the universe, and everything?","I'm not a bot, but I have a question. What is the purpose of life?",The purpose of it is to be a living thing.,What is it?,"To live a living being, that will live a thing. But, to be plain, what is the matter?",What does the purpose have to do with it? Why is it a thing?,"Because it is a thing, that is a creature.",Why is it necessary?,,,36.17970091956003,0.9152609535626003
"What is the meaning of life, the universe, and everything?",What is life?,"The meaning of death, the meaning and meaning of all.",What's life? I'm not a native english speaker.,"What, is not the meaning, the matter?",what is the matter?,,,,,30.133340072631835,0.8759838700294494
"What is the meaning of life, the universe, and everything?",The meaning of your life is the same as your life.,What is your meaning?,What does that even mean?,"To know that you are a prophet, a prophet.",What's the meaning?,"That, if you be a prophet and a prophetess, you are neither neither.",But what if you are both?,"057, I have a son, and a daughter, that I will call Katharina.","I have a daughter, and a son.",31.313319206237793,0.8856359190411038
"What is the meaning of life, the universe, and everything?",This is the best answer.,"Why, then, is the world a prison, and the world the prison a prison?",I think that's the point.,"It is, sir.",Isn't it the universe?,"The very fabric of it, sir, is a prison.","The world is a jail, sir.",,,26.50741195678711,0.8578945994377136
"What is the meaning of life, the universe, and everything?",I don't understand the question.,I do not understand the meaning.,I am not the one who asked you this question. I am the one that asked you.,"O, I know it well: but have you not told me what you think of it?",This is the only time I've ever asked you to stop.,"What, is't so?",You're not the only one.,,,31.901493344988143,0.9297482626778739
"What is the meaning of life, the universe, and everything?",I love this.,"What, art thou a prophet?","What is, thou art a prophet?","What's, art I a prophet, and thou art not?","No, it's not.",,,,,27.237640953063966,0.8784180521965027
"What is the meaning of life, the universe, and everything?",What is life?,"The meaning of death, the meaning and purpose of death;",What's death?,"What, is it not the meaning, purpose, or the meaning?","The word meaning, purpose, and purpose.",,,,,23.043584060668945,0.8474419593811036
"What is the meaning of life, the universe, and everything?",I have a question for you. What is the purpose of life?,I would you know.,What is life? What is purpose?,"Why, what is purpose?","Why, what is life",Why art thou so sure of death?,What are you?,,,22.26015281677246,0.906741738319397
"What is the meaning of life, the universe, and everything?",What is life?,"A miserable lie, to be sure, if any be present.",What's a lie?,"It is a miserable lie: if any of you be present, you are a fool to believe it.","A fool is not a fool, but a fool is a fool.","If any of yon secrets be here, they are not very secret: if they be not, they must be secret: there is no fool in't: if it be, it must be true: if there be none, it cannot be true.",,,,31.6314860979716,0.8660866618156433
"What is the meaning of life, the universe, and everything?",I think the answer is yes.,"The meaning is, in the very beginning, that all is one.",What Technicalities?,"What is't, that you may say?",What technicalities? What is the answer?,,,,,31.485559463500977,0.8077177166938782
"What is the meaning of life, the universe, and everything?",What is life?,"A miserable world, a miserable world.",What's life? I don't have a life.,"What, ho! ho!","What, what?",What! what! What! what?,what what? what what? What}{,,,20.57583863394601,0.7841876234327044
"What is the meaning of life, the universe, and everything?",I'm not sure what you mean by this.,"I mean, to tell you a tale.",What is your favourite part of life?,"I would not be the messenger of that tale. But, in the truth of it, the truth.",But I am the messenger.,And I am a messenger too?,That's a good point.,,,32.07819516318185,0.8782143592834473
"What is the meaning of life, the universe, and everything?",What is a non universal?,"A multitudinous world, if you will call it one.",What does the universe have to do with anything?,"What makes it not a world, but a multitudenous world, and not a multidimensional world?",It's not a universe.,"It is a multiflical world, a multigrain'ddoctor, a world that, as you say, is a world of multitudes.",But what is a universe?,,,48.33338138035366,0.8938722865922111
"What is the meaning of life, the universe, and everything?",I love this.,I know it well.,I'm not sure I can take that seriously.,"It is a very serious matter: yet, for the time being, I do not think, I should leave you to your thoughts: yet I think, you must go with me.",A lot of people are.,"Go, go with us: we must go to the Tower.",But I'm not a tree.,,,40.66068158830915,0.8918347869600568
"What is the meaning of life, the universe, and everything?",I have a feeling that you're going to die in the end.,I am; and I am going to live.,I hope you are.,"Away, and go to: I'll follow you.",You're going places.,Where?,Go to : r place,,,26.050859246935165,0.8719117556299482
"What is the meaning of life, the universe, and everything?",I am a computer scientist. I am also a computer programmer.,And what of that?,What about computers?,I have a feeling.,What if I have a computer?,,,,,22.353671646118165,0.8207662463188171
"What is the meaning of life, the universe, and everything?",I'm sorry but I'm not a scientist.,"I would you were, sir, but I am not a musician.","You're right, I was just trying to say that the answer is yes.","You were a prophet to the gods, and they are no less; therefore, no more.",I was a prophet.,"But I am no more; I am a prophet, and I am the prophet.",So you were the chosen one.,,,37.86443819318499,0.8743731124060494
"What is the meaning of life, the universe, and everything?",This is my favorite answer.,"If I may be so bold, I will answer it.","I don't know, but I think it's a good answer. It's like saying the universe is a universe.",It is a very pretty answer: it is a pretty answer.,"If you have to ask, then it's not a very good answer.It is an answer. But it is also a very nice answer. I have no idea what you are trying to say.",I am the world's greatest musician; and I am the best musician.,,,,41.817952473958336,0.8929009636243185
"What is the meaning of life, the universe, and everything?",I don't think it's possible to be happy.,"It is possible, sir, but not possible.",I'm not sure what to believe.,I am the very god of all things; and therefore I believe it not possible that I should be unhappy.,What do you believe?,"Faith, I know you do not believe me.",How can you be unhappy?,,,32.50853429521833,0.8990967784609113
