Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I'm not even sure what that means.,You know what?  I don't know what that is either.,I don't even know what a potato is.,"Hey, hey, hey.  I just want to say that I am very impressed with the level of commitment and commitment you put into this.  You are a very good person.","Yeah, I'm not really sure what you're talking about.","Well, I think we all know what you mean.","Well, I think you mean the same thing.",35.503789629255024,0.9465902107102531
"What is the meaning of life, the universe, and everything?",I am.,What?,"Yes, I am. I'm not a troll.",I'm a serious idiot.,You're a troll,"I know, I know.",I think you are missing the point here.,17.999230248587473,0.8194829651287624
"What is the meaning of life, the universe, and everything?","I'm not sure what the meaning is of life, the universe, and everything.","Well, I don't know.",How do you know?,I know what the universe is.,I don't think so.,I think it's possible.,"So, is there any way to know what is and isn't life?",17.42670454297747,0.920651240008218
"What is the meaning of life, the universe, and everything?",What is life?,What do you mean?,I think you're missing the point.,What's the point?,It's a quote from the movie.,"You know, I don't think you need to repeat it.",What was the original quote?,16.86453492300851,0.8575685364859444
"What is the meaning of life, the universe, and everything?","I don't know what the meaning is of life, the universe, and everything.",What?,What is life?,It's not a race.,What race is it?,Indian.,what race is this?,15.578107288905553,0.7908299309866769
"What is the meaning of life, the universe, and everything?",I have no idea what the meaning is of life.,Do you know what the word 'begin?',I don't know what that means.,You know what? I think it means something.,What does that mean?,You think that I'm gonna tell you that I have an addiction?,What is this?,23.41659927368164,0.9215988261359078
"What is the meaning of life, the universe, and everything?",What is life?,What does it mean to be happy?,Why do you feel so much guilt?,I don't know. I just feel really guilty.,Why does it feel so bad?,It's the feels.,How does it hurt you?,18.088605880737305,0.897053096975599
"What is the meaning of life, the universe, and everything?",What is your favourite book?,Life is a highway to madness.,What's your favourite movie?,The Princess Bride.,Favorite movie? What's your favorite movie? Favorite author?,I don't know. I don't have a favorite.,Which movie??,22.968592643737793,0.7207743184907096
"What is the meaning of life, the universe, and everything?", WP is the only answer.,I'm not answering that.,WP?,Yes.,I don't get it.,Why don't you just go to the store and get some ice chips?,"I am a vegan, I am not a member of the cult of ice.",22.51239425795419,0.6716027685574123
"What is the meaning of life, the universe, and everything?",What is your favorite book?,Life is a highway to madness.,I don't get it.,It's not a book. It's a philosophy.,Is it a book? Or a journey?,It is a journey.,It was a book.,21.801974160330637,0.8385984642165047
