Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",It's a mystery.,"Okay, I'm sorry, I don't understand.","It is a mystery, and I'm not going to explain it.","Well, you're not going do that.","I'm not gonna do that, because I'm really sorry.","You're not gonna tell me that you're sorry, because you're really not going tell me.",,22.922324021657307,0.8696090380350748
"What is the meaning of life, the universe, and everything?",What is love?,I don't know.,I love you.,What?,"Oh, no.",It's a trick question. I love you too.,,10.643117109934488,0.8464368780454
"What is the meaning of life, the universe, and everything?",I don't know.,Do you know anything about physics?,No.,You know what? I'm not gonna take it.,"No, no, no.","I'm not taking it. I'm taking it, and I'm gonna take the fall.",,15.044842600822449,0.7859416007995605
"What is the meaning of life, the universe, and everything?",It's just a game.,"Well, it's not a game, it just...",What is it?,I don't know.,I can't tell if it's a game or a life.,What?,,19.291408618291218,0.8895845115184784
"What is the meaning of life, the universe, and everything?","Well, it's not a very deep question.",I don't know. I just think it's interesting that you asked me that question. It's like asking you if you had a dream.,"No, no, no. It is like asking me if I had a son.",What?,I'm not a son of a bitch.,Well...,,29.003323634465534,0.8506341477235159
"What is the meaning of life, the universe, and everything?",I don't know.,You know what? I don't think I want to answer that.,I'm not going to answer anything.,"No, I'm not.","Well, then why don't you ask the question?",Because I don'I don' I don.,,18.16581392288208,0.89865443110466
"What is the meaning of life, the universe, and everything?","I don't know, I don't really know.",You know what? I'm just gonna say something.,I'm not gonna say anything.,"Michael, I'm sorry.",That's not what I'm saying.,"No, I know what you're saying. I'm not saying anything. I just, I think it's very possible that you're just saying things because you think it makes you feel better.",,17.66542148590088,0.8986739218235016
"What is the meaning of life, the universe, and everything?",The meaning of Life.,"Okay, I'm not gonna mortals.","Well, I am.","And I am, and I am not.",I am not a mere mortal.,"It's a good thing you're not a mortal. I mean, I could be a god.",,20.650339603424072,0.852322647968928
"What is the meaning of life, the universe, and everything?",I don't know.,I'm not asking you.,Do you want to talk about it?,No.,What?,You're not going to tell me.,,12.056180119514465,0.8353308439254761
"What is the meaning of life, the universe, and everything?","I don't know, what is the point of life?",What is it?,It's a question.,What's the point?,"Well, I'm not gonna say it.","I'm not going to say it, but...",,15.954377015431723,0.8959566354751587
"What is the meaning of life, the universe, and everything?",I don't know.,Do you think you could tell me what life is like without telling me?,What do you mean?,"Life is like a box of kittens, you open it, you're left with only one wish.",I wish I could have gotten a wish. ,What is that?,,31.179014364878338,0.8730734090010325
"What is the meaning of life, the universe, and everything?",I don't know.,So what do you think?,"Well, I think that the answer is, 'cause I think it's important.",I think it is important. I think I know what the meaning is.,It's important to me.,That's what she said.,You know what? I'm not gonna say it.,21.950546945844376,0.8910209025655474
"What is the meaning of life, the universe, and everything?","I don't know, I just don't understand.","Well, you're a little off the mark with the questions.",I know.,"It's like, you know, you just have to think about it.","Yeah, I don't really know what the point is.","Okay, so, I'm just gonna...",,26.181399822235107,0.874199757973353
"What is the meaning of life, the universe, and everything?","No, no, no. I don't think that's what he said.",I think he was just saying that he thought that life was like a box of chocolates.,"Yeah, it's like a chocolate box.",That's the way it goes.,"So, I'm not gonna get a job here.",What do you mean?,I'm gonna go to the store.,25.54146603175572,0.864057047026498
"What is the meaning of life, the universe, and everything?",It's not about what you think it is. It's about what God thinks you are.,Okay.,You are right. I am right.,"I'm right. You are right, I am.","Michael, I think you're right. We should all be so lucky.",Yes.,,25.80303470293681,0.8527218103408813
"What is the meaning of life, the universe, and everything?",I don't know.,"I think you should ask yourself, 'What is a god to a woman?'","Well, it's not really a question. It's just a question of whether she's hot or not.",Well...,"I know, I know. I just, I'm just, um, I don't really know.  I just don't think she's that hot.","Hey, you know what? I'm not gonna lie to you. I think she might be a little... ",,34.59839804967245,0.8599218726158142
"What is the meaning of life, the universe, and everything?","No, I'm just saying, if you think it's just a hobby, you're probably not gonna like it.",I'm not.,"It's just that, I've never really been a hobby.","Well, I know, but you know, I thought that maybe you could teach me.","Yeah, I'd be happy to.","Hey, you know what? You're right. I'm gonna teach you.",,33.51227490107218,0.9228353202342987
"What is the meaning of life, the universe, and everything?","I'm sorry, I'm not gonna go in there.",What are you doing?,You're not.,"I am not going in there, Michael.","Oh, God.","Don't worry, I don't think I'm going in here.",,20.3862943649292,0.8246303101380666
"What is the meaning of life, the universe, and everything?",What is it?,It's not a question.,I don't know.,"Well, it's not.","No, it is not. It's not, it isn't.",It is.,,15.698006470998129,0.8874830106894175
"What is the meaning of life, the universe, and everything?","I don't know, I don't have any of those things.",Do you have any idea what life is like?,"No, I'm not really sure.",You know what? You should talk to her.,"Yeah, I think I should.",What?,,21.820649703343708,0.9045089483261108
"What is the meaning of life, the universe, and everything?",I don't know.,"So, how many times have you asked yourself, 'How do I live in a world where I can't do anything?'",I'm not asking you anything.,Do you think that's what I'm asking?,"Well, it's a question.","No, it is not.",,23.786961873372395,0.8967077235380808
"What is the meaning of life, the universe, and everything?","I don't know, I just thought it was interesting to know.","I'm not gonna lie to you, I thought you were a really nice guy.","Well, you know, you're a really good salesman, and you know what? I don't think you're going to make it.",It's not that I don'I don' I don 'I don'I donna' I think I do.,"Okay, I'm going to go.","No, I donno.",,41.13450845082601,0.8940047125021616
"What is the meaning of life, the universe, and everything?",I'm not a scientist.,You're not?,"No, I'm not.",I am.,No.,What?,,13.442078073819479,0.8105800648530325
"What is the meaning of life, the universe, and everything?",The meaning of this world.,"The point is, you have to decide what is the most important thing in your life.",Okay.,And that is...,And what is that?,That is a statement of fact.,,21.704610347747803,0.8220314482847849
"What is the meaning of life, the universe, and everything?",What is life?,The meaning of our lives.,What?,You're right.,I'm right. ,I can't believe this is real.  ,,13.828726053237915,0.8598106801509857
"What is the meaning of life, the universe, and everything?",The meaning of the universe.,What is it?,I don't know.,It's a mystery.,You don't have to answer.,"No, I don't.",,13.718390941619873,0.8145020802815756
"What is the meaning of life, the universe, and everything?",The meaning of the word life.,"The point is, it's not a question.","I'm not asking you a question, I'm asking you an honest question. I'm not a doctor, I don't know what that is.",It's a disease known as 'Schrute Logic.',I don't think you understand.,"Oh, I think I do.",,33.87298345565796,0.8418313264846802
"What is the meaning of life, the universe, and everything?","No, I don't know.","Okay, I think I know what you're talking about.","I think I'm talking about the movie, 'The Road.'","The movie, The Road?",I don't think I am.,"Oh, hey, hey.",,23.411248524983723,0.8302828272183737
"What is the meaning of life, the universe, and everything?",It's just a question.,"I don't know, I just think it's important to ask.",What is it?,What's the meaning?,I just want to know what it is.,Do you want me to tell you what it means?,,18.166003545125324,0.8957706689834595
"What is the meaning of life, the universe, and everything?","The meaning of Life, the Universe, and Everything.",You're right.,It's a little bit complicated.,I'm sorry.,That's what she said.,"Michael, what are you doing?",,16.297588507334392,0.781830777724584
