Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",The meaning of your life is to live in peace.,What is that?,I'm a Christian and I love it.,I know.,It's a very popular religion.,"Oh, okay.",I was just joking.,19.64007364000593,0.7963223797934396
"What is the meaning of life, the universe, and everything?",I holistic.,What is this?,What do you mean?,I'm not a professional.,What's your profession?,Sales.,I am a professional.,17.384409155164445,0.707955573286329
"What is the meaning of life, the universe, and everything?",What is life?,What do you think?,I think that's a really stupid question.,What's the meaning?,It's a stupid question,What?,How do you know?,15.98928131375994,0.8809542655944824
"What is the meaning of life, the universe, and everything?",What is your favourite book?,"I'm reading a lot Norinco, and I'm not really sure what it is.",I love the Norincos.,"Oh, that's great.",It's a NorinCo.,It is?,I just realized that it's a CZ75,28.44732747759138,0.8326274752616882
"What is the meaning of life, the universe, and everything?","I'm a simple man. I seemares, I upvote.",Why do you think that the world is so messed up?,"Why is it that people that have the power to make the world better, are always the ones who make the mess?",I think that you are right.,"It's not just about the money, but the fact that the people that make the money have the ability to do so.","Well, I'm not gonna tell you what to do, but I'm going to tell you something.",Why would you choose that,42.800597190856934,0.8907948902675084
"What is the meaning of life, the universe, and everything?",What is life?,What do you think?,what do you believe?,I believe in a God.,What does god believe? What is God?,,,15.197268867492676,0.9049265265464783
"What is the meaning of life, the universe, and everything?","The meaning of Life, the Universe, and Everything.",What is life?,What's a life?,What are you talking about?,I'm not sure what you're talking about.,I think you're right.,I don't think you know what a paradox is.,14.732442583356585,0.9245622754096985
"What is the meaning of life, the universe, and everything?",I'm not sure what to think about this.,What do you think?,What is your definition of the meaning?,I don't know.,What does the meaning have to do with anything?,You know what? I think we should be breasts.,I think we are both.,20.923425674438477,0.8783598031316485
"What is the meaning of life, the universe, and everything?",I have a feeling that you're not the one who is the one to define what is and is not a human.,What?,What is a human?,What are you talking about?,It's a human being.,I am not a Human being.,"You're a human, not a robot.",23.490695885249547,0.8590994392122541
"What is the meaning of life, the universe, and everything?",I love the way you think.,What is it?,That's a good question.,I think it's a great question.,Why do you think so?,Because I think it is a great idea.,What's the point of this?,17.522969518389022,0.8860714435577393
"What is the meaning of life, the universe, and everything?",I don't know.,I'm sorry.,I have no idea.,Okay.,Sorry.,It's okay.,What's with the weird accent?,11.583057062966484,0.7721434491021293
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning for the universe?,I'm not sure what's the point of the universe.,It's not a universe.,What do you mean?,It is a universe!,What does the universe have to do with this?,17.78506987435477,0.8429660711969648
"What is the meaning of life, the universe, and everything?",I don't think it's a story.,"Oh, no, no. I'm not saying that it's not a story.","I'm not a writer, but I'm pretty sure it's supposed to be a story, like, what's the point of all this?","Well, I don't know.","Well, I think it would be a good story if it was a story","No, no it wouldn't.",That's a good point.,30.131890092577255,0.9110277976308551
"What is the meaning of life, the universe, and everything?",What is a question?,It's a question.,What's a rhetorical question? What's a false statement?,What?,A false statement.,,,17.770197200775147,0.8292244911193848
"What is the meaning of life, the universe, and everything?",I am the walrus,I'm not a walrus.,I don't know what you're talking about,I think you're right.,That's not how the force works,"Oh, I'm sorry.",He's not a robot.,19.34048012324742,0.7575386932918003
"What is the meaning of life, the universe, and everything?",What is life?,What's life?,I'm just here to see what's life.,What do you mean?,Can you please elaborate?,I think you're right.,What about the other 42?,16.100572858537948,0.8799054792949131
"What is the meaning of life, the universe, and everything?",What is life?,I'm not going to go into it.,What's the meaning to life? I'm not sure I understand.,"I don't know what the meaning is, but I'm going to.",Why do you think you know?,Because I'm a very good salesman.,But why?,23.85069717679705,0.896419073854174
"What is the meaning of life, the universe, and everything?",What is your favorite thing about yourself?,I love the way I look.,How do you feel about being called the Doctor?,"Well, I think that's a pretty cool name.",I'm the Doctor.,"So, uh, I was wondering if you'd like to sit down with me, and I'd like you to take a seat.","Hey, I'm the doctor.",26.082750184195383,0.8845584392547607
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,I don't know what to say.,"I have to say, I am so glad I came004.",I came,You came?,"Come on, come on, it's already been made.",20.461249896458217,0.8805082014628819
"What is the meaning of life, the universe, and everything?",What is your favorite thing about life?,I don't know.,What's your favorite color?,What?,Are you okay?,,,16.06013250350952,0.8501243114471435
"What is the meaning of life, the universe, and everything?",The meaning of the Universe is to be the best at something.,What is love?,What's love?,What do you mean?,I'm not sure what you mean?,I don't know what you're talking about.,What if I told you that the universe is the universe?,17.78384508405413,0.909779395375933
"What is the meaning of life, the universe, and everything?",What is life?,I don't know.,What's the meaning?,What does life have to do with this?,I think that's the point.,"I know, it's just, I think it's kind of a weird question.","I mean, what's the question?",18.016558510916575,0.8954336132322039
"What is the meaning of life, the universe, and everything?",What is life?,"I don't know, I don't have the answer.",What does life even mean?,What do you mean?,Why do you have a question mark?,You're asking me a question.,Why is life so important?,18.577916826520646,0.9084328242710659
"What is the meaning of life, the universe, and everything?","I don't know what the meaning is of life, the universe, and everything.",What's the meaning?,What is life?,What do you mean?,what is life,What?,But what is life.,17.008060932159424,0.8748341202735901
"What is the meaning of life, the universe, and everything?",I can't decide if this is the most satisfying thing I've ever read or the least satisfying.,I think you're right.,This is the kind of stuff that makes me want to die.,"This, this is what makes me wanna go to the bathroom.",I'm just here to watch the clock.,You know what? I'm just gonna go to my desk.,Just going to sit here.,27.41071823665074,0.8932513509477887
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning to life?,Why does life exist?,Why is there a universe?,why is there an end to life???,I don't know.,Why are there universes?,16.119185992649623,0.8748538494110107
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,I don't know.,What?,Who is?,Who's the boss?,Why do you ask?,12.749376092638288,0.8462499380111694
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning for life?,But what's the point of life?!,What?,I'm not even sure what the meaning is.,I don't know what the point is.,I think I know what it is. What is it?,17.019868237631663,0.9285891056060791
"What is the meaning of life, the universe, and everything?",What is your favorite comic book character?,I love the way that the way the way I see things is.,I like the way you think.,What are you doing here?,I'm not here.,I don't know.,What if I am?,18.92932755606515,0.9034595574651446
"What is the meaning of life, the universe, and everything?",The meaning of your life is to find happiness.,I'm not sure what that means.)))),The question is : what is the purpose of life?,To find happiness.,What is life? I don't get it.,"Well, the point is, I think it's about finding happiness. So, you know, the answer is to go find happiness in your life.",I don't think you understand what life is.,33.495669501168386,0.849813197340284
