Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,"I'm sorry, I don't understand.",I think you're confusing the meaning.,What?,What's life?!,16.550241549809773,0.8626126249631246
"What is the meaning of life, the universe, and everything?",What is love?,Baby don't hurt me,"Baby, don't hit me.",What do you want?,I want a divorce.,You know what? You're a good person.,16.516241550445557,0.869544525941213
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's a game.,Is it a game?,No.,Do you have a game,13.026713569959005,0.8123280306657156
"What is the meaning of life, the universe, and everything?",What is there to love?,I love you.,What?,"It's okay, I love you too.","No, no, no.","I'm sorry, I'm not good at this.",14.548304796218872,0.8410691420237223
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What does life have to do with this?,I am not going to say anything.,So what is life,17.051739533742268,0.8599509199460348
"What is the meaning of life, the universe, and everything?",What is life?,But what is life?,What's life? What is love?,what is love?,Baby don't hurt me.,What am I?,15.868394533793131,0.9159519871075948
"What is the meaning of life, the universe, and everything?",What is it?,Is it really?,It's a question.,I'm confused.,What's the meaning?,I know.,15.3662961324056,0.8191553850968679
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What do you mean?,What's life? I don't understand.,It's a joke.,I'm sorry.,15.842307885487875,0.8181358973185221
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What do you thinkrophies are?,What are monkeys?,Monkey's what?,Monkeys are not real.,18.901084423065186,0.8221018115679423
"What is the meaning of life, the universe, and everything?","Well, I'm not really sure what it means.",What is life?,It's a mystery.,Is it a mystery?,I don't know.,How do you know?,15.384372075398764,0.8646790087223053
"What is the meaning of life, the universe, and everything?",It's a beautiful day.,I don't understand.,What is life?,What does that mean?,It means that we are all going to die.,What's a death sentence?,16.028263568878174,0.8235967457294464
"What is the meaning of life, the universe, and everything?","Well, I guess the answer is no.",What is life?,It's a journey.,I'm confused.,What?,I know.,16.093812704086304,0.822792112827301
"What is the meaning of life, the universe, and everything?","Well, you know what? I just want to be friends with all the people I love.",What is your favorite thing about yourself?,I'm a very nice guy.,I don't know what to say to that.,"You're not really a good guy, are you?",I am a very good guy.,23.81716839472453,0.8743405143419901
"What is the meaning of life, the universe, and everything?","It's not about the meaning, it's about the journey.",What is it about?,I don't know.,Why does it matter?,It doesn't.,But what does that have to do with anything?,14.924242814381918,0.9091749489307404
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What does life have to do with this?,I have to go.,It's not about the money. It's about sending a message.,16.129443168640137,0.8618809580802917
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's like a movie.,How does it feel?,Like a movie?,What do you think?,15.22273874282837,0.816882332166036
"What is the meaning of life, the universe, and everything?",What is life?,Is it possible to learn this power?,It's not possible.,"I'm not even a big fan of the movie, but I think it's hilarious.","Michael, I'm sorry.","It was a joke, right?",21.982099692026775,0.8763772149880728
"What is the meaning of life, the universe, and everything?",What is it?,How can you tell?,What?,It's a joke.,What's that?,I can't tell if you're being sarcastic or not.,13.217216730117798,0.8505147794882456
"What is the meaning of life, the universe, and everything?","No, no, no. No, no!",What is life?,What's the meaning?,What do you mean?,"I mean, I don't know. I just don't.",What does life mean? I don'know.,18.080248196919758,0.8684173226356506
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning for life?,What does life mean?,It means nothing.,How does life work?,14.123502572377523,0.8565742472807566
"What is the meaning of life, the universe, and everything?",What is love?,I love you,"I'm sorry, but I'm not feeling so well.",I feel like this is the most appropriate comment to be made.,"I am sorry, I am not feeling very well. ",I can feel my head in my pants.,25.207959810892742,0.8702736596266428
"What is the meaning of life, the universe, and everything?","Well, the meaning is, you know, just a thought.",The meaning of the word'life'is not a thought.,I don't know what that means.,"Well, the meaning was not a dream.",Well...,The dream is not real.,28.189556280771892,0.8437962234020233
"What is the meaning of life, the universe, and everything?",The meaning of this.,What is life?,"The universe, the meaning, the purpose, the beauty, the music.","The music, the music.","The song, the song, and the music...","The lyrics, the lyrics.",21.14778200785319,0.8736749092737833
"What is the meaning of life, the universe, and everything?",What is there to know revert to the past?,"I don't know, what is there?","I'm sorry, I'm just, I don't understand.",What's there to be proud of?,"Well, I mean, I think you guys are great.",I am proud of you.,25.869110266367596,0.9031482537587484
"What is the meaning of life, the universe, and everything?","I don't know, I just think it's a little...",What is your favourite thing about yourself?,I love my job.,What's your favorite thing about you?,My favorite thing is...,Why do you think so?,22.633196194966633,0.8793319960435232
"What is the meaning of life, the universe, and everything?",I think we should ask ourselves: 'Why are we here?,What is life?,"I don't know, what is love?",Why do you love me?,Because protester.,Why does it matter?,20.69036610921224,0.7914730509122213
"What is the meaning of life, the universe, and everything?",What is it?,The meaning of the word.,"I'm sorry, I can't hear you.",I think I've heard of that.,You don't know what that means.,You're right.,19.714070320129395,0.8381006419658661
"What is the meaning of life, the universe, and everything?","I don't know, I just thought it was funny that you said that.",I was making a joke.,What is a joke?,"No, I was making the joke. It's a joke, but not a very good one.","Oh, no, no. No, no! No, I'm not making a funny joke. I'm making a serious one.",It's a meme.,28.66024176279704,0.8830030262470245
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What does life have to do with it?,"I'm sorry, I can't hear you.",I can't even understand what you're saying.,15.668631553649902,0.8690671821435293
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's a universe?,What do you think?,I think it's a simulation.,I thought it was a simulation.,15.059433460235596,0.8495418230692545
