Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?","All things are made of shapes, shapes, and all things are things.",What is it?,"A strange world, to say the least.",Not as strange as yours.,"I am the stranger in this world, my lord, and I am the one.","Your Highness, the Force is strong with this one.  You are my only friend.  I am your master now.  Join me and we can rule the galaxy as father and son.",,,31.237305879592896,0.8552889823913574
"What is the meaning of life, the universe, and everything?","If that be the meaning, then 'tis the end of all.",I don't know.,"Then, by my holidame, I pray thee, tell me.",The Force is strong with this one.,What force?,It's the power of the dark side.,,,33.1324098110199,0.8120326598485311
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning and meaning of man, the truth and meaning thereof, and the meaning, and all things in all things, that I am a subject to, and myself a subject unto the world, and to all things that I know and cannot learn.",What is it?,"It is a strange world indeed, and one that I have no cause to live to end.","I see, what you did there.","It was a strange thing, and it should be so.","No, I'm not going to argue with that.",,,57.277588764826454,0.9076431592305502
"What is the meaning of life, the universe, and everything?","It is a miserable world, and so is death.",I have felt it.,Have you felt it?,I can feel it.  It's too strong for me.,It cannot be resisted.,But I have the high ground.,Then I am no coward; I will yield unto you.,You underestimate the power of the dark side.,26.989514112472534,0.8744393587112427
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof;",What is it?,"A miserable life, to be sure, but one that is miserable.",A life worth living.,"It is, it is.",What makes you think so?,,,24.200644095738728,0.812248706817627
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof, all of it.",What is it?,"A book of life: the meaning, the matter, all the matter; which is, I would not say, the end.","Then what is it, then?","An art thou, my lord, that art a book of death?","No, I am not a Jedi.",,,41.48653276761373,0.8603845735390981
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof, all things are.",What is it?,"It is a thing that is impossible to live, and therefore cannot die.","It's impossible to dieously, but it is possible to live.",,,,,29.656304717063904,0.9101585745811462
"What is the meaning of life, the universe, and everything?","In that there is a purpose, but that there's no purpose, purpose, nor no purpose.",What is there?,"A purpose, sir, of some sort, I think, that I have not heard of.",I don't know.,"Do you hear, sir?",,,,36.22193174362182,0.8840927720069885
"What is the meaning of life, the universe, and everything?",Away with her!,"You can't destroy me, Obi-Wan. I've tried. You're a Jedi now. You have lost.","I'll try, but I'll lose.",You will not be silenced.,"If I do not, I will be silenced, And never return to you.",What is it?,"Peace, peace!",,33.114466190338135,0.8136711035455976
"What is the meaning of life, the universe, and everything?","The meaning of it is, as I guess, to make a world. Walters, go with me; I'll go with you.",You're going to the Academy next term?,"Ay, sir; and I am going to see what I can learn of it.",It's not wise to insult a master.,"Ay; and if you be a master, you are no less.","Master Luke, what good will it do us if you're not around long enough to teach us the ways of the Force?",,,52.58902168273926,0.8935634593168894
"What is the meaning of life, the universe, and everything?","I am the author of this, and I will not go to sleep.",What is it?,"The very meaning of it, which I will tell you.",I'm not going to argue with that.,"O, no, no; I will confess it; and I'll tell you what it is.",This is not a battle droid. It's a space station.,,,33.324124892552696,0.8941489855448405
