Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",What are you asking?,"How is it with you, my lord?",I am asking you a question.,What is't with you?,"You are asking me a question, and I am answering it.",,,21.940196228027343,0.8845299124717713
"What is the meaning of life, the universe, and everything?","The meaning of my life is to get back to work.  And I'm doing it right now.  I'm going to go to a job I've been wanting and I'm not looking back.  Because I've realized that I've made a terrible mistake.  It's not my fault that I'm at my current level.  So, where does my desk end up?  Oh, my God.  Where does my closet end up, where do my cats end up with all this stuff?    Where do my dogs end up in this infinite well?  Where did my desk go?  It all starts with a simple search for meaning.  There are no answers.  But I've found answers.","I am a simple man: what's the matter, sir?",I'm sorry.,"No, sir, I am not a man; but I know you well enough to know the matter: I am a man, sir; and I know your father well enough.","Yes, I'm a man.  You can call me a man if you want, but I'm gonna call you a rat.",,,109.58458852767944,0.8881570219993591
"What is the meaning of life, the universe, and everything?",The meaning of your life is to find happiness in something.,I am content.,The sky is blue. The moon is green. The rain is red.,What is't so?,What are you doing?,"Nothing, my lord; I am a soldier;icy, and therefore no longer at liberty.",,25.942766507466633,0.7899196247259775
"What is the meaning of life, the universe, and everything?",It's constipating.,"What is life, that is so deep and so deep?","Life is like a box jelly fish. If you look at it, you'll see that there is life inside of it. And inside of that is love. And that is pain. And I wish I could die right now. I wish that I could just go to hell. But I can't. I have this crazy feeling that I am going to be here for a long time. And if I don't, I'm going to die. And it's going to suck it up a little bit. But then I'll be back. And the feeling of freedom and love and, and that's all that really matters.","O, it is so: but I would not be a man, for I am a man: I would, but I am not yet a man.",You are not a man?,,,90.58472442626953,0.9003300309181214
"What is the meaning of life, the universe, and everything?",Life is a highway to a point where you just can't look away.,I think you have a point.,It's not a highway at all.,How doth it seem to be?,It seems to me like the best way to learn is to go out and surprise.,What's the best course?,,33.70666631062826,0.8705740670363108
"What is the meaning of life, the universe, and everything?",I think you're asking too much.,"I am, sir.","No, I'm not.","You are a devil, sir, and you should know it.","Well, I don't think I'm a devil.","If it were so, I had some quarrel to shake out: but, sirrah, I think you are a fool: what is the matter, sir?",,21.711487134297688,0.8764710823694865
"What is the meaning of life, the universe, and everything?",What is love?,"A love that can endure the world, and never cease to be; And yet, as I am, yet a man That cannot endure the earth, I love it none of it.",That's a really big leap.,Amen.,I have been here eighteen years and I have conquered all of that.,"You have been there, and you have seen the world.",,40.37338383992513,0.7207235346237818
"What is the meaning of life, the universe, and everything?",I think you're asking too much.,"Why, what is the purpose of life?",The purpose of the human body is to make you feel good about yourself.,What purpose is it of nature to make the world good?,Is it a human need?,"To make you think good of nature, to make your body good at it.",,26.88335196177165,0.8967650334040324
"What is the meaning of life, the universe, and everything?",The universe.,"What is it, that you speak of, that is so heavy on your tongue?",It's a question.,"I would you had said, 'The world is full of faults.'","Well, I would say that the world is filled with plenty.","Well said, sir.",,29.521926244099934,0.8458522061506907
"What is the meaning of life, the universe, and everything?",The universe.,The meaning of that?,I don't know.,"O, the meaning!","The point is, it's a joke.",,,17.68738603591919,0.7538007616996765
