Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,What's the meaning?,It's a mystery.,I know. I know. But I don't think I know what the meaning is.,"Okay, you know what? I don'I think I want to see you go home.","No, I don 'I don' want to go home, I'm not going to go.",,24.831751505533855,0.8545095225175222
"What is the meaning of life, the universe, and everything?",The meaning of your life is to be the best you can be.,What is it?,"It's a book about a person who is good at something, but is also bad at something.","Well, what is it about?",Well...,I don't know.,,22.27676010131836,0.8810717960198721
"What is the meaning of life, the universe, and everything?",I don't know.,Do you have any idea what it is?,"No, I don't.",You know what? You're right. You're wrong.,I'm not wrong. I'm right.,"It's like the last time I checked, it's only three months.",,15.634982268015543,0.8882692952950796
"What is the meaning of life, the universe, and everything?",The meaning of our lives is to be miserable.,I don't know what that means.,"You know what, I don't really know what to tell you. I mean, what does that mean?",I think it means that you're living in a fantasy world.,"What does that even mean? I don'I don' I donno, I think it's something to do with the way you're perceiving it.","Okay, well, it's not just fantasy. It's also about the way we live.",,37.479236443837486,0.9205984870592753
"What is the meaning of life, the universe, and everything?",I don't know.,What is it?,The meaning of the universe.,"Okay, okay, okay.",I'm not going to tell you what it is.,It's a song.,,16.31623649597168,0.7193340261777242
"What is the meaning of life, the universe, and everything?",I don't know.,I think you're right.,What?,The meaning of the word is 'the universe.',What does that even mean?,It means 'the meaning of our lives.',,16.373430172602337,0.817031075557073
"What is the meaning of life, the universe, and everything?","Well, I don't know.",Do you know what the meaning is?,I don't.,"I'm sorry, are you okay?","Yes, I'm fine.","No, no, no.  I'm sorry.  You're not.",,15.468152125676474,0.90736852089564
"What is the meaning of life, the universe, and everything?",I don't know.,I think it's time to go.,The meaning of the human race is a mystery.,Yeah.,"No, I'm not.",You're not. You're not the only one.,,17.08549416065216,0.7648750891288122
"What is the meaning of life, the universe, and everything?",The meaning of your life is to find happiness in a way that you can enjoy yourself.,I don't know what to tell you.,"Well, I think that you should ask yourself: what is the most important thing that you have ever said to me?",I'm not asking you. I'm asking you a question.,So what is your question?,Is it true that you're gay?,,29.54859272638957,0.9210916757583618
"What is the meaning of life, the universe, and everything?",I don't know.,What are the parameters for a question?,What do you want to know?,How many questions do you have?,Answer me one.,Answer the question.,"Well, that's not gonna happen.",18.002527918134415,0.832279622554779
