Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?","It is a strange world, my lord.",What is love?,"A strange thing, my liege.",It's not a lie.,"No, my good lord; it is a trick.","Oh, I know.",,25.400987148284912,0.845519612232844
"What is the meaning of life, the universe, and everything?","I have heard, and I know not.",You have heard the word 'theoretical'.,The word is a word for a word; a word against a word.,"Yes, I have heard it.",,,,33.05987286567688,0.8247328996658325
"What is the meaning of life, the universe, and everything?","I am the god of men; and nature, nature, and nature itself, and all the creatures that are.",What are you doing?,"Being a god, I am a god to men.",God is a term used loosely around the office. I think you should know that.,I think you do.,"Oh, no, no. No, no!",,37.683648109436035,0.8490810096263885
"What is the meaning of life, the universe, and everything?","To answer that first, the very soul of man, The very soul that is the subject of all this, The which is the soul of nature, The subject of the earth, the subject Of all that is nature, the world, The self-same thing that is all that nature, Nature, nature, nature's subject, Nature's subject; The selfsame thing which nature itself is, Nature itself is nature's slave, Nature is nature; The nature that nature is, nature is nature.","Hey, hey, hey.",What's the meaning?,The meaning of the word itself is unknowable.,"I know it is, and am not sure what it is.",Because you are ignorant.,,68.0252628326416,0.7704200247923533
"What is the meaning of life, the universe, and everything?",The meaning of all.,What is love?,"A kind of love, a kind of life; and love itself, as we say, is a kind.",I'm not sure.,"Why, then love is a part of nature, a part that nature cannot change; therefore nature cannot make a change.",Do you know what the word itself means?,I do.,34.74652876172747,0.8433801446642194
"What is the meaning of life, the universe, and everything?","What is't, what is it, what's the meaning, what I am to be?","Well, the point is, you are a human being.","If you be, you must be.",I am.,"Then, then, you shall have the truth.",You are?,,31.400540192921955,0.8498478134473165
"What is the meaning of life, the universe, and everything?","All of it, sir, all of it.","Well, okay, I can't believe I'm saying this, but...","If you love it, you must love it. What is't, that you love, that loves it?",I love love it!,"What, ho! what, ho?",Ho ho!,,35.36587301890055,0.850834717353185
"What is the meaning of life, the universe, and everything?","It is a story of life and death; but it is not of much consequence, to the end.",I am not a physics major.,"Why, then you are not a mathematics major; therefore your mathematics is not a subject.",You know what? I am a physics Major.,And I know what you mean.,It's not a big deal.,,36.77291774749756,0.8937412401040395
"What is the meaning of life, the universe, and everything?","What is't, that I may be content to die, To die for nothing but what I love?","Well, I'm not really sure what that is.","A better question is, what is't?","I don't know, what?","An old tale, sir, that's so fresh and so fresh, That it should be so fresh as to die.","I'm not going to tell you what it is.  I'm going to say, it's not a story you want told.",,44.64462375640869,0.8876639803250631
"What is the meaning of life, the universe, and everything?","I am the god of gods, and nature; And nature, nature, the heavens, Nature, the earth, all things.",What are you doing?,"My father's fault, and my mother's fault; And, to be brief, I am the son of a god.","Okay, you're the son and you're my boyfriend.",You are both gods: and I am your father's wife.,I'm the godfather.,,49.08967876434326,0.863170862197876
"What is the meaning of life, the universe, and everything?","A happy one, if you be a Christian.","So, I've been thinking that since I was a little girl, I should be able to have a little sense of direction.",I am a little conceited.,"Well, that's because you're a woman, right?","Why, then I am a woman indeed.","No, I'm a man.",,35.68934345245361,0.8922306001186371
"What is the meaning of life, the universe, and everything?",Away with her! I am out of breath.,"Oh, you know what? I don't think I'm gonna make it.","A word, sir.",It's a word.,"O, what a word it is!",Oh my God!,,25.49119806289673,0.8002562125523885
"What is the meaning of life, the universe, and everything?","What is life, nature, and all, that men must know?","Oh, God. ",I do not know; therefore I'll tell thee.,I know.,"You do not, sir.","Yes, I do.","Do you not know, sir?",26.661142213003977,0.8775124209267753
"What is the meaning of life, the universe, and everything?","Why, what is the matter, the world, the gods, and nature?",You know what? Why don't you just tell me what it is?,"I know what, but not what.",You don't know what it's called.,"I do not know what to call it, but I know it well enough.","Michael, what do you call it?","A penitent murderer, if you will call it so.",30.56526211329869,0.9323194367544991
"What is the meaning of life, the universe, and everything?","Well, that's the meaning.",What is it?,The meaning of all.,The universe?,"It is the most fundamental of all, the most true.",I don't know what you're talking about.,,22.678547143936157,0.8042118151982626
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof, all things that are.",I'm not familiar with the word.,"You have been too lenity to him, and too blunt to him.",What's that mean?,,,,39.685330390930176,0.8726471364498138
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof; The meaning of the world, the purpose of life; The purpose of all things in all.","I'm sorry, are you saying 'the purpose of my life' or 'the meaning of my death'?",,,,,,48.79838943481445,0.895722895860672
"What is the meaning of life, the universe, and everything?","In that, I would say, I know not.","Well, then, I guess you're not a scientist.",I am a Christian; and I know the meaning.,What?,A very Christian.,A... a very Christian?,,27.30625073115031,0.8503458698590597
"What is the meaning of life, the universe, and everything?",The meaning of all.,The universe?,"It is the end of all, and therefore the beginning.",What?,,,,23.762619733810425,0.7843300998210907
"What is the meaning of life, the universe, and everything?","To answer that, I pray thee, it is, The meaning of all that I have.","Okay, that's enough.","To be fair, I have some rather, but not many.","Oh, I see.","A very fair maid, if you be fair.","Well, she is very fair.  And I, on the other hand, am very, very angry.",,36.688362995783486,0.8581491907437643
"What is the meaning of life, the universe, and everything?","I would say, 'tis the meaning o' the world, and the world's; 'tis a world of wonders, and a world o' all things; and, to be brief, is the world o'the world itself, and so o' that, that, if it be not, it is the sum o' both.",What is a sumo suit?,"A very good suit indeed, sir, if you be not a rich man.","I am rich, and I have a very good job, and this is what I wear, I'm a professional, and, I have my dignity.","A man of dignity, sir?",Yes.,Are you so rich that you can afford to live a bachelor's bachelor's bawd?,65.18656699998039,0.8234548653875079
"What is the meaning of life, the universe, and everything?","What is't, that you would be a murderer to live?","Well, the question is, what is the purpose of my termination?",It is a murder to end a life; to end it all.,I'm not firing anyone.,"No, sir; I am a man: but I am not a man to fire somebody else; I do fire myself.",Well...,"What's the matter, sir?",40.938554355076384,0.8408417190824237
"What is the meaning of life, the universe, and everything?","All things that God hath made, all things that heaven hath made.","So, how are you?","I am well; and, as I am, your love's.",That's nice.,I love you.,Love you too.,,28.000367005666096,0.8449561993281046
